"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"SWE00140026","1945","63.32","13.07","480.0","DALEN, SW","       189","E","        91","E","         3","E","  47.5"," ,E,0609, ","    895.3"," ,E"
"SWE00140026","1946","63.32","13.07","480.0","DALEN, SW","       171","E","        86","E","         1","E","  29.2"," ,E,0814, ","    697.8"," ,E"
"SWE00140026","1961","63.32","13.07","480.0","DALEN, SW","       191","E","        81","E","         1","E","  36.0"," ,E,0627, ","    724.3"," ,E"
"SWE00140026","1962","63.32","13.07","480.0","DALEN, SW","       201","E","        74","E","         1","E","  36.5"," ,E,0825, ","    656.0"," ,E"
"SWE00140026","1963","63.32","13.07","480.0","DALEN, SW","       206","E","        81","E","         1","E","  30.0"," ,E,0626, ","    612.8"," ,E"
"SWE00140026","1964","63.32","13.07","480.0","DALEN, SW","       193","E","        89","E","         2","E","  40.3"," ,E,0829, ","    803.7"," ,E"
"SWE00140026","1965","63.32","13.07","480.0","DALEN, SW","       209","E","        79","E","         0","E","  23.2"," ,E,0713, ","    638.7"," ,E"
"SWE00140026","1966","63.32","13.07","480.0","DALEN, SW","       209","E","        86","E","         0","E","  22.0"," ,E,0712, ","    708.6"," ,E"
"SWE00140026","1967","63.32","13.07","480.0","DALEN, SW","       203","E","        98","E","         2","E","  54.5"," ,E,0704, ","    783.3"," ,E"
"SWE00140026","1968","63.32","13.07","480.0","DALEN, SW","       186","E","        68","E","         0","E","  17.5"," ,E,0626, ","    514.9"," ,E"
"SWE00140026","1969","63.32","13.07","480.0","DALEN, SW","       170","E","        61","E","         0","E","  21.8"," ,E,0701, ","    551.6"," ,E"
"SWE00140026","1970","63.32","13.07","480.0","DALEN, SW","       191","E","        83","E","         0","E","  24.2"," ,E,0903, ","    654.4"," ,E"
