"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COLR0220","2004","40.3684","-105.5137","2365.9","ESTES PARK 0.6 SSE, CO US","       117","N","        64","N","         3","N","      110","","        26","N","   267"," ,N,1129, ","   259"," ,N,0513,+","  27.9"," ,N,0819, ","    623.3"," ,N","     2473"," ,N"
"US1COLR0220","2005","40.3684","-105.5137","2365.9","ESTES PARK 0.6 SSE, CO US","       111","N","        47","N","         0","N","","","        24","N","","","   272"," ,N,0429, ","  21.8"," ,N,0429, ","    409.4"," ,N","     2474"," ,N"
"US1COLR0220","2006","40.3684","-105.5137","2365.9","ESTES PARK 0.6 SSE, CO US","       115","N","        47","N","         3","N","","","        29","N","","","   498"," ,N,1229, ","  38.4"," ,N,0709, ","    454.1"," ,N","     3323"," ,N"
"US1COLR0220","2007","40.3684","-105.5137","2365.9","ESTES PARK 0.6 SSE, CO US","       134","N","        46","N","         0","N","","","        24","N","","","   114"," ,N,0105, ","  22.4"," ,N,1014, ","    441.0"," ,N","     1931"," ,N"
"US1COLR0220","2008","40.3684","-105.5137","2365.9","ESTES PARK 0.6 SSE, CO US","       122","N","        42","N","         3","N","","","        26","N","","","   274"," ,N,0331, ","  31.5"," ,N,0912, ","    368.4"," ,N","     2036"," ,N"
"US1COLR0220","2009","40.3684","-105.5137","2365.9","ESTES PARK 0.6 SSE, CO US","       128","N","        50","N","         2","N","","","","","","","","","  35.1"," ,N,0418, ","    438.0"," ,N","",""
"US1COLR0220","2010","40.3684","-105.5137","2365.9","ESTES PARK 0.6 SSE, CO US","       105","N","        50","N","         1","N","","","","","","","","","  34.3"," ,N,0512, ","    459.6"," ,N","",""
"US1COLR0220","2011","40.3684","-105.5137","2365.9","ESTES PARK 0.6 SSE, CO US","       118","N","        47","N","         2","N","","","","","","","","","  39.9"," ,N,0519, ","    464.3"," ,N","",""
"US1COLR0220","2012","40.3684","-105.5137","2365.9","ESTES PARK 0.6 SSE, CO US","        91","N","        35","N","         2","N","","","","","","","","","  50.0"," ,N,0708, ","    342.6"," ,N","",""
"US1COLR0220","2013","40.3684","-105.5137","2365.9","ESTES PARK 0.6 SSE, CO US","       131","N","        55","N","         5","N","","","","","","","","","  99.1"," ,N,0912, ","    702.6"," ,N","",""
"US1COLR0220","2014","40.3684","-105.5137","2365.9","ESTES PARK 0.6 SSE, CO US","       127","N","        58","N","         3","N","","","","","","","","","  29.5"," ,N,0730, ","    477.7"," ,N","",""
"US1COLR0220","2015","40.3684","-105.5137","2365.9","ESTES PARK 0.6 SSE, CO US","       129","N","        60","N","         3","N","","","","","","","","","  45.5"," ,N,0417, ","    601.0"," ,N","",""
"US1COLR0220","2016","40.3684","-105.5137","2365.9","ESTES PARK 0.6 SSE, CO US","       106","N","        35","N","         0","N","","","","","","","","","  17.3"," ,N,0318, ","    321.1"," ,N","",""
