"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOMY0002","2011","39.0922274","-91.461289","246.3","MIDDLETOWN 3.5 SW, MO US","       136","N","        70","N","        10","N","","","","","","","","","  56.6"," ,N,0618, ","   1001.7"," ,N","",""
"US1MOMY0002","2012","39.0922274","-91.461289","246.3","MIDDLETOWN 3.5 SW, MO US","       118","N","        63","N","         6","N","","","","","","","","","  56.1"," ,N,0414, ","    758.1"," ,N","",""
"US1MOMY0002","2013","39.0922274","-91.461289","246.3","MIDDLETOWN 3.5 SW, MO US","       122","N","        73","N","        12","N","","","","","","","","","  57.4"," ,N,0601, ","   1041.0"," ,N","",""
"US1MOMY0002","2014","39.0922274","-91.461289","246.3","MIDDLETOWN 3.5 SW, MO US","       138","N","        68","N","        14","N","","","","","","","","","  65.0"," ,N,1002, ","   1078.2"," ,N","",""
"US1MOMY0002","2015","39.0922274","-91.461289","246.3","MIDDLETOWN 3.5 SW, MO US","       138","N","        88","N","        17","N","","","","","","","",""," 108.0"," ,N,0621, ","   1550.5"," ,N","",""
"US1MOMY0002","2016","39.0922274","-91.461289","246.3","MIDDLETOWN 3.5 SW, MO US","       124","N","        65","N","        10","N","","","","","","","","","  73.4"," ,N,0703, ","    963.7"," ,N","",""
"US1MOMY0002","2017","39.0922274","-91.461289","246.3","MIDDLETOWN 3.5 SW, MO US","       105","N","        59","N","        11","N","","","","","","","",""," 108.5"," ,N,0430, ","   1068.3"," ,N","",""
"US1MOMY0002","2018","39.0922274","-91.461289","246.3","MIDDLETOWN 3.5 SW, MO US","       128","N","        64","N","         8","N","","","","","","","","","  61.2"," ,N,1008, ","    991.1"," ,N","",""
"US1MOMY0002","2019","39.0922274","-91.461289","246.3","MIDDLETOWN 3.5 SW, MO US","       138","N","        81","N","        12","N","       42","","         8","N","   483"," ,N,0113, ","   340"," ,N,0112, ","  92.5"," ,N,0718, ","   1231.6"," ,N","     1035"," ,N"
"US1MOMY0002","2020","39.0922274","-91.461289","246.3","MIDDLETOWN 3.5 SW, MO US","       132","N","        79","N","         7","N","       16","","         5","N","    76"," ,N,0206, ","    79"," ,N,0206, ","  68.3"," ,N,0111, ","    974.1"," ,N","      378"," ,N"
"US1MOMY0002","2021","39.0922274","-91.461289","246.3","MIDDLETOWN 3.5 SW, MO US","       135","N","        80","N","        15","N","       20","","         6","N","   165"," ,N,0218, ","    89"," ,N,0216, ","  63.8"," ,N,0625, ","   1258.1"," ,N","      422"," ,N"
"US1MOMY0002","2022","39.0922274","-91.461289","246.3","MIDDLETOWN 3.5 SW, MO US","       111","N","        71","N","        13","N","       23","","         6","N","   254"," ,N,0203, ","   140"," ,N,0202, "," 156.2"," ,N,0726, ","   1132.2"," ,N","      651"," ,N"
"US1MOMY0002","2023","39.0922274","-91.461289","246.3","MIDDLETOWN 3.5 SW, MO US","       117","N","        67","N","         4","N","        4","","         3","N","    51"," ,N,0109,+","    56"," ,N,0108, ","  55.1"," ,N,0827, ","    761.8"," ,N","      167"," ,N"
