"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WYLM0023","2006","41.0844","-105.2486","2338.7","WARREN AFB 20.6 WSW, WY US","       100","N","        43","N","         1","N","        28","N","   315"," ,N,1229, ","  37.3"," ,N,0625, ","    409.0"," ,N","     3409"," ,N"
"US1WYLM0023","2007","41.0844","-105.2486","2338.7","WARREN AFB 20.6 WSW, WY US","       115","N","        54","N","         2","N","        32","N","   259"," ,N,0325, ","  48.8"," ,N,1014, ","    537.1"," ,N","     3085"," ,N"
"US1WYLM0023","2008","41.0844","-105.2486","2338.7","WARREN AFB 20.6 WSW, WY US","       116","N","        37","N","         4","N","        29","N","   267"," ,N,0410, ","  63.2"," ,N,0605, ","    499.0"," ,N","     2318"," ,N"
"US1WYLM0023","2011","41.0844","-105.2486","2338.7","WARREN AFB 20.6 WSW, WY US","       102","N","        49","N","         2","N","","","","","  40.6"," ,N,1102, ","    473.8"," ,N","",""
"US1WYLM0023","2012","41.0844","-105.2486","2338.7","WARREN AFB 20.6 WSW, WY US","        91","N","        34","N","         1","N","","","","","  26.7"," ,N,0707, ","    271.1"," ,N","",""
"US1WYLM0023","2013","41.0844","-105.2486","2338.7","WARREN AFB 20.6 WSW, WY US","       121","N","        64","N","         4","N","","","","","  79.8"," ,N,0913, ","    724.1"," ,N","",""
"US1WYLM0023","2015","41.0844","-105.2486","2338.7","WARREN AFB 20.6 WSW, WY US","       134","N","        62","N","         3","N","","","","","  78.0"," ,N,0417, ","    654.6"," ,N","",""
"US1WYLM0023","2016","41.0844","-105.2486","2338.7","WARREN AFB 20.6 WSW, WY US","       115","N","        46","N","         2","N","        37","N","   417"," ,N,0202, ","  39.4"," ,N,0508, ","    477.5"," ,N","     4134"," ,N"
"US1WYLM0023","2017","41.0844","-105.2486","2338.7","WARREN AFB 20.6 WSW, WY US","       121","N","        55","N","         4","N","        37","N","   729"," ,N,0105, ","  53.8"," ,N,0519, ","    582.6"," ,N","     4553"," ,N"
"US1WYLM0023","2018","41.0844","-105.2486","2338.7","WARREN AFB 20.6 WSW, WY US","       114","N","        52","N","         3","N","","","","","  46.7"," ,N,0503, ","    504.3"," ,N","",""
"US1WYLM0023","2019","41.0844","-105.2486","2338.7","WARREN AFB 20.6 WSW, WY US","       131","N","        53","N","         1","N","","","","","  40.1"," ,N,0529, ","    497.1"," ,N","",""
"US1WYLM0023","2020","41.0844","-105.2486","2338.7","WARREN AFB 20.6 WSW, WY US","        94","N","        46","N","         0","N","        31","N","   462"," ,N,1025, ","  22.4"," ,N,1025, ","    392.1"," ,N","     3118"," ,N"
