"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00146015","2006","39.50363","-96.2033","363.6","ONAGA 2 NW, KS US","        90","N","        57","N","         8","N","         2","N","","","","","    66"," ,N,0321, ","  41.4"," ,N,0711, ","    703.3"," ,N","      115"," ,N"
"USC00146015","2007","39.50363","-96.2033","363.6","ONAGA 2 NW, KS US","       100","N","        61","N","        15","N","        11","N","","","","","   165"," ,N,0121, "," 101.3"," ,N,0524, ","   1076.1"," ,N","      801"," ,N"
"USC00146015","2008","39.50363","-96.2033","363.6","ONAGA 2 NW, KS US","       102","N","        60","N","         6","N","         5","N","","","","","   203"," ,N,0206, ","  68.8"," ,N,0913, ","    858.9"," ,N","      552"," ,N"
"USC00146015","2009","39.50363","-96.2033","363.6","ONAGA 2 NW, KS US","       110","N","        51","N","         6","N","","","","","","","","","  83.3"," ,N,0602, ","    930.2"," ,N","",""
"USC00146015","2013","39.50363","-96.2033","363.6","ONAGA 2 NW, KS US","        92","N","        63","N","         9","N","","","","","","","","","  94.7"," ,N,0730, ","    944.4"," ,N","",""
"USC00146015","2014","39.50363","-96.2033","363.6","ONAGA 2 NW, KS US","       101","N","        59","N","        13","N","","","","","","","","","  44.2"," ,N,0708, ","    877.5"," ,N","",""
"USC00146015","2016","39.50363","-96.2033","363.6","ONAGA 2 NW, KS US","        91","N","        57","N","        12","N","","","","","","","","","  93.0"," ,N,0527, ","    991.9"," ,N","",""
"USC00146015","2018","39.50363","-96.2033","363.6","ONAGA 2 NW, KS US","        91","N","        49","N","        10","N","","","","","","","",""," 122.4"," ,N,0903, ","    928.2"," ,N","",""
"USC00146015","2020","39.50363","-96.2033","363.6","ONAGA 2 NW, KS US","        95","7","        63","7","         8","7","         3","7","        14"," ","        31"," ","    66"," ,7,0213,+","  49.0"," ,7,1125, ","    799.8"," ,7","      197"," ,7"
"USC00146015","2021","39.50363","-96.2033","363.6","ONAGA 2 NW, KS US","","","","","","","","","         3"," ","        25"," ","","","","","","","",""
"USC00146015","2022","39.50363","-96.2033","363.6","ONAGA 2 NW, KS US","        79","7","        47","7","         7","7","         4","7","         6"," ","        34"," ","   104"," ,7,0307, ","  49.8"," ,7,1105, ","    719.7"," ,7","      377"," ,7"
"USC00146015","2023","39.50363","-96.2033","363.6","ONAGA 2 NW, KS US","        83","7","        47","7","         7","7","         2","7","        14"," ","        34"," ","   165"," ,7,1126, ","  46.7"," ,7,0601, ","    666.6"," ,7","      246"," ,7"
"USC00146015","2024","39.50363","-96.2033","363.6","ONAGA 2 NW, KS US","","","","","","","","","         4"," ","         9"," ","","","","","","","",""
