"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00203331","2009","42.8971","-85.7794","188.4","GRANDVILLE 1 SW, MI US","","","","","       173","N","        89","N","        12","N","       76","","        28","N","","","","","","","","","","","","","","","","","   445"," ,N,0118, ","   213"," ,N,1211, ","  62.0"," ,N,0426, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1232.9"," ,N","     2375"," ,N","","","","","","","",""
"USC00203331","2010","42.8971","-85.7794","188.4","GRANDVILLE 1 SW, MI US","","","","","       144","N","        77","N","         7","N","       87","","        16","N","","","","","","","","","","","","","","","","","   279"," ,N,0227, ","   236"," ,N,0210, ","  44.5"," ,N,0723, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    964.3"," ,N","     1419"," ,N","","","","","","","",""
"USC00203331","2011","42.8971","-85.7794","188.4","GRANDVILLE 1 SW, MI US","","","","","       167","N","        93","N","         9","N","       72","","        27","N","","","","","","","","","","","","","","","","","   533"," ,N,0202, ","   292"," ,N,0202, ","  65.5"," ,N,0622, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1258.8"," ,N","     2111"," ,N","","","","","","","",""
"USC00203331","2012","42.8971","-85.7794","188.4","GRANDVILLE 1 SW, MI US","","","","","       141","N","        80","N","         4","N","       37","","        17","N","","","","","","","","","","","","","","","","","   254"," ,N,0116,+","   150"," ,N,0130, ","  37.1"," ,N,0811, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    873.5"," ,N","     1559"," ,N","","","","","","","",""
"USC00203331","2013","42.8971","-85.7794","188.4","GRANDVILLE 1 SW, MI US","","","","","       180","N","       120","N","         9","N","       96","","        40","N","","","","","","","","","","","","","","","","","   381"," ,N,0202, ","   269"," ,N,0202, ","  95.5"," ,N,0909, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1361.4"," ,N","     3759"," ,N","","","","","","","",""
"USC00203331","2014","42.8971","-85.7794","188.4","GRANDVILLE 1 SW, MI US","","","","","       188","N","       108","N","         6","N","      105","","        42","N","","","","","","","","","","","","","","","","","   660"," ,N,0219,+","   229"," ,N,0125, ","  47.8"," ,N,1003, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1153.6"," ,N","     3543"," ,N","","","","","","","",""
"USC00203331","2015","42.8971","-85.7794","188.4","GRANDVILLE 1 SW, MI US","","","","","       164","N","        85","N","         3","N","       80","","        19","N","","","","","","","","","","","","","","","","","   381"," ,N,0304, ","   297"," ,N,0109, ","  57.7"," ,N,0410, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    974.9"," ,N","     1871"," ,N","","","","","","","",""
"USC00203331","2016","42.8971","-85.7794","188.4","GRANDVILLE 1 SW, MI US","","","","","       168","N","       102","N","        10","N","       81","","        30","N","","","","","","","","","","","","","","","","","   305"," ,N,1219,+","   262"," ,N,0225, ","  57.7"," ,N,0813, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1253.6"," ,N","     2898"," ,N","","","","","","","",""
"USC00203331","2017","42.8971","-85.7794","188.4","GRANDVILLE 1 SW, MI US","","","","","       173","N","        97","N","        10","N","       45","","        21","N","","","","","","","","","","","","","","","","","   343"," ,N,1230, ","   170"," ,N,1230,+","  67.1"," ,N,1024, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1175.3"," ,N","     1825"," ,N","","","","","","","",""
"USC00203331","2018","42.8971","-85.7794","188.4","GRANDVILLE 1 SW, MI US","","","","","       179","N","        91","N","        13","N","       63","","        29","N","","","","","","","","","","","","","","","","","   330"," ,N,0104,+","   168"," ,N,0307, ","  61.0"," ,N,0827, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1258.4"," ,N","     2113"," ,N","","","","","","","",""
