"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00204280","2014","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","        13"," ","","","","","","","","","","","","","","","",""
"USC00204280","2015","47.2752","-88.417","341.4","KEARSARGE, MI US","       121","7","        94","7","         7","7","","","","","        19"," ","","","","","","","  38.6"," ,7,1029, ","    869.2"," ,7","","","       225","7","      14.3","7"
"USC00204280","2016","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","      141","","        70","7","        12"," ","","","   940"," ,7,0209, ","   330"," ,7,1210,+","","","   1251.9"," ,7","     6126"," ,7","","","",""
"USC00204280","2017","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","        27"," ","","","","","","","","","","","","","","","",""
"USC00204280","2018","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","        16"," ","","","","","","","","","","","","","","","",""
"USC00204280","2019","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","        10"," ","","","","","","","","","","","","","","","",""
"USC00204280","2020","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","         9"," ","","","","","","","","","","","","","","","",""
"USC00204280","2021","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","         7"," ","         1"," ","","","","","","","","","","","","","",""
"USC00204280","2022","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","        12"," ","","","","","","","","","","","","","","","",""
"USC00204280","2023","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","        10"," ","         2"," ","","","","","","","","","","","","","",""
"USC00204280","2024","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","",""
