"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00282806","1999","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","","","","","","","         2","N","   124"," ,N,0314, ","","","","","      275"," ,N"
"USC00282806","2000","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","","","","","","","         8","N","   330"," ,N,1230, ","","","","","      993"," ,N"
"USC00282806","2001","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","","","","","","","         6","N","   160"," ,N,0222, ","","","","","      557"," ,N"
"USC00282806","2002","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","","","","","","","         4","N","   178"," ,N,1205, ","","","","","      435"," ,N"
"USC00282806","2003","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","","","","","","","        10","N","   229"," ,N,0216, ","","","","","     1173"," ,N"
"USC00282806","2004","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","","","","","","","         6","N","   107"," ,N,0319, ","","","","","      480"," ,N"
"USC00282806","2005","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","","","","","","","        12","N","   231"," ,N,0122, ","","","","","     1132"," ,N"
"USC00282806","2006","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","","","","","","","         4","N","   254"," ,N,0212, ","","","","","      427"," ,N"
"USC00282806","2007","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","","","","","","","         5","N","    94"," ,N,0316, ","","","","","      366"," ,N"
"USC00282806","2008","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","","","","","","","         4","N","   122"," ,N,0222, ","","","","","      254"," ,N"
"USC00282806","2009","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","","","","","","","         9","N","   224"," ,N,1219, ","","","","","      731"," ,N"
"USC00282806","2010","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","","","","","","","        10","N","   386"," ,N,0210, ","","","","","     1316"," ,N"
"USC00282806","2011","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","       132","N","        95","N","        16","N","         9","N","   335"," ,N,0126, "," 122.9"," ,N,0814, ","   1690.4"," ,N","      975"," ,N"
"USC00282806","2012","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","       124","N","        85","N","         8","N","         4","N","    84"," ,N,1107, ","  54.4"," ,N,0728, ","   1004.8"," ,N","      296"," ,N"
"USC00282806","2013","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","       128","N","        80","N","        12","N","         8","N","    94"," ,N,1210, ","  98.3"," ,N,0607, ","   1307.6"," ,N","      616"," ,N"
"USC00282806","2014","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","       128","N","        81","N","        13","N","        10","N","   216"," ,N,0213, "," 118.9"," ,N,0430, ","   1222.2"," ,N","     1173"," ,N"
"USC00282806","2015","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","       124","N","        74","N","        14","N","        11","N","   188"," ,N,0305, ","  54.9"," ,N,0910, ","   1157.1"," ,N","     1027"," ,N"
"USC00282806","2016","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","       116","N","        73","N","         8","N","         6","N","   424"," ,N,0123, ","  45.5"," ,N,0110, ","    973.9"," ,N","      691"," ,N"
"USC00282806","2017","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","       135","N","        78","N","        12","N","         9","N","   145"," ,N,1209, ","  73.4"," ,N,1029, ","   1201.2"," ,N","      797"," ,N"
"USC00282806","2018","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","       153","N","       105","N","        18","N","         6","N","   185"," ,N,0321, ","  72.4"," ,N,0527, ","   1735.5"," ,N","      731"," ,N"
"USC00282806","2019","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","       145","N","        94","N","        15","N","         5","N","    53"," ,N,0303,+","  67.3"," ,N,0529, ","   1416.5"," ,N","      317"," ,N"
"USC00282806","2020","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","       132","7","        79","7","        14","7","         2","7","   114"," ,7,1216, ","  62.5"," ,7,0804, ","   1248.5"," ,7","      172"," ,7"
"USC00282806","2021","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","       128","7","        84","7","        11","7","         8","7","   142"," ,7,0218, "," 125.5"," ,7,0901, ","   1244.8"," ,7","      691"," ,7"
"USC00282806","2022","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","       121","7","        90","7","         8","7","         5","7","   137"," ,7,0129, ","  42.7"," ,7,1002, ","   1180.6"," ,7","      415"," ,7"
"USC00282806","2023","40.25986","-74.7863","30.5","EWING 1 ESE, NJ US","       118","7","        80","7","        14","7","         0","7","    20"," ,7,0227, ","  55.1"," ,7,0910, ","   1256.4"," ,7","       33"," ,7"
