"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00286979","1940","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","       120","6","        80","6","        13","6","","","","","","","","","","","","","","","","","","","","","","","","","  51.6"," ,6,0315, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1231.2"," ,6","","","","","","","",""
"USC00286979","1941","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","        82","6","        66","6","         9","6","","","","","","","","","","","","","","","","","","","","","","","","","  40.6"," ,6,0801, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    901.9"," ,6","","","","","","","",""
"USC00286979","1942","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","        97","6","        80","6","        15","6","","","","","","","","","","","","","","","","","","","","","","","","","  97.8"," ,6,0809, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1371.4"," ,6","","","","","","","",""
"USC00286979","1944","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","       106","6","        74","6","         9","6","","","","","","","","","","","","","","","","","","","","","","","","","  62.7"," ,6,0104, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    935.0"," ,6","","","","","","","",""
"USC00286979","1945","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00286979","1946","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","        88","6","        73","6","        12","6","","","","","","","","","","","","","","","         2"," ","","","","","","","","","  57.9"," ,6,0723, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1067.0"," ,6","","","","","","","",""
"USC00286979","1947","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","       111","6","        91","6","        14","6","","","","","","","","","","","","","","","         2"," ","","","","","","","","","  49.5"," ,6,0714,+","","","","","","","","","","","","","","","","","","","","","","","","","","","   1296.9"," ,6","","","","","","","",""
"USC00286979","1948","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","       117","0","        87","0","        11","0","","","","","","","","","","","","","","","         1"," ","","","","","","","","","  66.8"," ,0,0513, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1169.7"," ,0","","","","","","","",""
"USC00286979","1949","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","       106","0","        73","0","        10","0","       12","","         7","0","","","","","","","","","","","","","","","","","   152"," ,0,0131, ","   140"," ,0,0131, ","  55.1"," ,0,0805, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1000.6"," ,0","      347"," ,0","","","","","",""
"USC00286979","1950","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","       116","0","        76","0","         8","0","        7","","         2","0","","","","","","","","","","","","","","","","","    51"," ,0,1227,+","    43"," ,0,1226, ","  84.3"," ,0,1126, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1033.7"," ,0","      144"," ,0","","","","","",""
"USC00286979","1951","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","        95","0","        78","0","        18","0","","","","","","","","","","","","","","","","","","","","","","","","","  50.8"," ,0,1008, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1353.7"," ,0","","","","","","","",""
"USC00286979","1955","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","        86","0","        66","0","         8","0","        0","","         3","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","    51"," ,0,0202, ","  96.5"," ,0,0813, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1063.5"," ,0","      135"," ,0","","","","","",""
"USC00286979","1957","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","        92","0","        66","0","        11","0","","","         7","0","","","","","","","","","","","","","","","","","","","   178"," ,0,0202, ","  50.8"," ,0,1221, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1008.3"," ,0","      569"," ,0","","","","","",""
"USC00286979","1958","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","        78","0","        58","0","        11","0","","","","","","","","","","","","","","","","","","","","","","","","","  59.7"," ,0,0801, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1167.3"," ,0","","","","","","","",""
"USC00286979","1959","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","       100","0","        72","0","         7","0","","","","","","","","","","","","","","","","","","","","","","","","","  44.5"," ,0,1001, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    976.6"," ,0","","","","","","","",""
"USC00286979","1960","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","       100","0","        70","0","         9","0","","","         8","0","","","","","","","","","","","","","","","","","","","   254"," ,0,1212, "," 104.1"," ,0,0913, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1097.1"," ,0","      912"," ,0","","","","","",""
"USC00286979","1962","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","       102","0","        73","0","         9","0","","","","","","","","","","","","","","","","","         1"," ","","","","","","","  88.9"," ,0,0806, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1032.7"," ,0","","","","","","","",""
"USC00286979","1964","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","        94","0","        67","0","         6","0","","","","","","","","","","","","","","","","","","","","","","","","","  32.3"," ,0,1003, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    801.3"," ,0","","","","","","","",""
"USC00286979","1965","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","        95","0","        56","0","         6","0","","","","","","","","","","","","","","","","","","","","","","","","","  40.6"," ,0,0202, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    700.2"," ,0","","","","","","","",""
"USC00286979","1966","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","        89","0","        63","0","        13","0","","","        12","0","","","","","","","","","","","","","","","","","","","   432"," ,0,1225, ","  73.7"," ,0,1103, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    957.5"," ,0","     1717"," ,0","","","","","",""
"USC00286979","1968","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","","","","","        68","0","        48","0","        17","0","","","","","","","","","","","","","","","","","","","","","","","","","  85.1"," ,0,0529, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1138.7"," ,0","","","","","","","",""
"USC00286979","2012","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","    546.9","","     546.9","7","       128","7","        86","7","         9","7","","","","","         0","7","        98","7","         9","7","       163","7","        30","7","","","","","  -12.8","7,0105,+","","","","","  81.3"," ,7,0124, ","   37.2","7,0719, ","-1.1","7,1013","-3.9","7,1106","-4.4","7,1214","","","","","0.0","7,0407","-2.2","7,0327","-4.4","7,0306","-7.8","7,0213","-11.1","7,0124","    2480.6","6","    2480.6","7","   1103.7"," ,7","","","     12.51","7","     18.05","7","      6.97","7"
"USC00286979","2014","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","    404.6","","     404.6","7","","","","","","","","","","","         2","7","       131","7","        38","7","       144","7","        12","7","","","","","  -18.3","7,0108,+","","","","","","","   33.9","7,0703, ","-0.6","7,1101","-3.3","7,1116","-5.6","7,1118","-7.8","7,1119","","","-1.1","7,0421","-2.8","7,0417","-6.7","7,0328","-6.7","7,0328","-10.6","7,0307","","","","","   1184.5"," ,7","","","     10.27","7","     15.90","7","      4.64","7"
"USC00286979","2015","40.69555","-75.19994","70.7","PHILLIPSBURG EASTON BRIDGE, NJ US","    555.4","","     555.4","7","       123","7","        72","7","         8","7","        5","","","","         6","7","       114","7","        35","7","       166","7","        16","7","","","","","  -18.9","7,0225,+","   127"," ,7,0125,+","","","  51.6"," ,7,0930, ","   35.6","7,0909, ","-1.7","7,1019","-4.4","7,1124","-4.4","7,1124","","","","","0.0","7,0425","-2.2","7,0402","-4.4","7,0330","-12.8","7,0308","-12.8","7,0308","    3326.2","2","    3326.2","7","   1067.7"," ,7","","","     11.27","7","     17.05","7","      5.51","7"
