"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00332872","2013","40.3568","-84.3734","289.9","FORT LORAMIE, OH US","       149","N","        79","N","        11","N","  64.3"," ,N,1222, ","   1059.8"," ,N"
"USC00332872","2014","40.3568","-84.3734","289.9","FORT LORAMIE, OH US","       144","N","        82","N","         8","N","  81.0"," ,N,0822, ","    974.4"," ,N"
"USC00332872","2015","40.3568","-84.3734","289.9","FORT LORAMIE, OH US","       137","N","        88","N","         4","N","  53.8"," ,N,0627, ","   1190.2"," ,N"
"USC00332872","2016","40.3568","-84.3734","289.9","FORT LORAMIE, OH US","       136","N","        78","N","         5","N","  47.2"," ,N,0814, ","    809.7"," ,N"
"USC00332872","2017","40.3568","-84.3734","289.9","FORT LORAMIE, OH US","       151","N","        84","N","        11","N","  44.2"," ,N,0624, ","   1112.9"," ,N"
"USC00332872","2018","40.3568","-84.3734","289.9","FORT LORAMIE, OH US","       158","N","        87","N","        17","N","  55.9"," ,N,0907, ","   1333.5"," ,N"
"USC00332872","2019","40.3568","-84.3734","289.9","FORT LORAMIE, OH US","       148","N","        98","N","        12","N","  64.5"," ,N,0616, ","   1200.6"," ,N"
"USC00332872","2020","40.3568","-84.3734","289.9","FORT LORAMIE, OH US","       156","7","        97","7","         7","7","  78.7"," ,7,0908, ","   1065.3"," ,7"
"USC00332872","2021","40.3568","-84.3734","289.9","FORT LORAMIE, OH US","       147","7","        80","7","        11","7","  47.0"," ,7,1025, ","    976.8"," ,7"
"USC00332872","2022","40.3568","-84.3734","289.9","FORT LORAMIE, OH US","       138","7","        67","7","         7","7","  45.0"," ,7,0307, ","    871.5"," ,7"
"USC00332872","2023","40.3568","-84.3734","289.9","FORT LORAMIE, OH US","       138","7","        74","7","         4","7","  51.8"," ,7,0304, ","    825.9"," ,7"
