"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00335851","2013","39.7371","-84.39563","284.4","NEW LEBANON, OH US","       151","N","        87","N","         9","N","","","","","","","","","  69.9"," ,N,1222, ","   1119.7"," ,N","",""
"USC00335851","2014","39.7371","-84.39563","284.4","NEW LEBANON, OH US","       143","N","        84","N","         9","N","","","","","","","","","  53.3"," ,N,0822, ","    987.4"," ,N","",""
"USC00335851","2015","39.7371","-84.39563","284.4","NEW LEBANON, OH US","       137","N","        87","N","         8","N","","","","","","","","","  72.9"," ,N,1028, ","   1125.1"," ,N","",""
"USC00335851","2016","39.7371","-84.39563","284.4","NEW LEBANON, OH US","       129","N","        82","N","         7","N","","","","","","","","","  42.9"," ,N,0811, ","    992.8"," ,N","",""
"USC00335851","2017","39.7371","-84.39563","284.4","NEW LEBANON, OH US","       141","N","        83","N","        12","N","","","","","","","","","  70.1"," ,N,1106, ","   1250.0"," ,N","",""
"USC00335851","2018","39.7371","-84.39563","284.4","NEW LEBANON, OH US","       158","N","        94","N","        10","N","","","","","","","","","  66.0"," ,N,0908, ","   1285.0"," ,N","",""
"USC00335851","2019","39.7371","-84.39563","284.4","NEW LEBANON, OH US","       147","N","        93","N","         9","N","","","","","","","","","  48.8"," ,N,0813, ","   1132.1"," ,N","",""
"USC00335851","2020","39.7371","-84.39563","284.4","NEW LEBANON, OH US","       138","7","        85","7","         9","7","       10","","         4","7","    76"," ,7,0228, ","    58"," ,7,0228, ","  66.0"," ,7,0320, ","   1042.0"," ,7","      284"," ,7"
"USC00335851","2021","39.7371","-84.39563","284.4","NEW LEBANON, OH US","       135","7","        87","7","         6","7","       26","","         7","7","   279"," ,7,0216, ","   231"," ,7,0216, ","  64.8"," ,7,0901, ","   1120.8"," ,7","      604"," ,7"
"USC00335851","2022","39.7371","-84.39563","284.4","NEW LEBANON, OH US","       131","7","        76","7","        11","7","       15","","         4","7","   152"," ,7,0205,+","   155"," ,7,0204, ","  75.9"," ,7,0905, ","   1003.4"," ,7","      466"," ,7"
"USC00335851","2023","39.7371","-84.39563","284.4","NEW LEBANON, OH US","       123","7","        68","7","         8","7","","","         3","7","","","    94"," ,7,0123, ","  74.4"," ,7,0304, ","    874.2"," ,7","      186"," ,7"
