"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00370897","2015","41.1578","-71.5676","39.6","BLOCK ISLAND COOP, RI US","","","","","","","","","","","        16"," ","         2"," ","","","","","","","","","",""
"USC00370897","2016","41.1578","-71.5676","39.6","BLOCK ISLAND COOP, RI US","       117","7","        81","7","        13","7","       17","","         7","7","        31"," ","         5"," ","   305"," ,7,0124, ","   330"," ,7,0124, ","  65.0"," ,7,0920, ","   1089.4"," ,7","      747"," ,7"
"USC00370897","2017","41.1578","-71.5676","39.6","BLOCK ISLAND COOP, RI US","       139","7","        80","7","        12","7","       17","","         8","7","        52"," ","        10"," ","   330"," ,7,0108, ","   330"," ,7,0108, ","  63.2"," ,7,1030, ","   1198.6"," ,7","     1058"," ,7"
"USC00370897","2018","41.1578","-71.5676","39.6","BLOCK ISLAND COOP, RI US","       150","7","        93","7","        17","7","       11","","         7","7","        41"," ","         9"," ","   279"," ,7,0105, ","   279"," ,7,0105, ","  61.5"," ,7,1012, ","   1425.2"," ,7","      824"," ,7"
"USC00370897","2019","41.1578","-71.5676","39.6","BLOCK ISLAND COOP, RI US","       135","7","        95","7","        20","7","        6","","         6","7","        20"," ","         3"," ","    51"," ,7,1203, ","    89"," ,7,1212, ","  56.1"," ,7,0120, ","   1408.9"," ,7","      271"," ,7"
"USC00370897","2020","41.1578","-71.5676","39.6","BLOCK ISLAND COOP, RI US","","","","","","","","","","","        19"," ","         9"," ","","","","","","","","","",""
"USC00370897","2021","41.1578","-71.5676","39.6","BLOCK ISLAND COOP, RI US","       122","7","        70","7","        14","7","       11","","         6","7","        22"," ","","","   152"," ,7,0220, ","   127"," ,7,0219, ","  86.9"," ,7,0805, ","   1123.2"," ,7","      406"," ,7"
"USC00370897","2022","41.1578","-71.5676","39.6","BLOCK ISLAND COOP, RI US","       114","7","        84","7","         4","7","       12","","         5","7","         6"," ","         1"," ","   330"," ,7,0201,+","   152"," ,7,0130, ","  46.2"," ,7,0914, ","    995.4"," ,7","      476"," ,7"
"USC00370897","2023","41.1578","-71.5676","39.6","BLOCK ISLAND COOP, RI US","       126","7","        78","7","        11","7","        1","","         1","7","        13"," ","         1"," ","    76"," ,7,0228, ","    89"," ,7,0228, ","  53.3"," ,7,0521, ","   1154.2"," ,7","       89"," ,7"
"USC00370897","2024","41.1578","-71.5676","39.6","BLOCK ISLAND COOP, RI US","","","","","","","","","","","         7"," ","","","","","","","","","","","",""
