"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0005J37S","1979","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       146","T","       146","T","         0","T","","","","","","","","","","","","","","","","","  22.9"," ,T,1026,+","","","","","","","","","","","","","","","","","","","","","","","","","","","   1142.4"," ,T","","","","","",""
"USS0005J37S","1980","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       111","T","       111","T","         5","T","","","","","","","","","","","","","","","","","  33.0"," ,T,0908, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1035.8"," ,T","","","","","",""
"USS0005J37S","1981","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       140","T","       140","T","         4","T","","","","","","","","","","","","","","","","","  25.4"," ,T,1230,+","","","","","","","","","","","","","","","","","","","","","","","","","","","   1198.1"," ,T","","","","","",""
"USS0005J37S","1982","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       143","T","       143","T","         7","T","","","","","","","","","","","","","","","","","  48.3"," ,T,1111, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1218.0"," ,T","","","","","",""
"USS0005J37S","1983","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       184","T","       184","T","         7","T","","","","","","","","","","","","","","","","","  50.8"," ,T,0305, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1619.2"," ,T","","","","","",""
"USS0005J37S","1984","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       155","T","       155","T","         5","T","","","","","","","","","","","","","","","","","  33.0"," ,T,0901,+","","","","","","","","","","","","","","","","","","","","","","","","","","","   1263.9"," ,T","","","","","",""
"USS0005J37S","1985","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       138","T","       138","T","         8","T","","","","","","","","","","","","","","","","","  40.6"," ,T,1007, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1300.0"," ,T","","","","","",""
"USS0005J37S","1986","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       134","T","       134","T","         8","T","","","","","","","","","","","","","","","","","  66.0"," ,T,0402, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1134.1"," ,T","","","","","",""
"USS0005J37S","1987","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       127","T","       127","T","         1","T","","","","","","","","","","","","","","","","","  25.4"," ,T,1114, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    872.2"," ,T","","","","","",""
"USS0005J37S","1988","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       126","T","       126","T","         1","T","","","","","","","","","","","","","","","","","  25.4"," ,T,0310, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    951.9"," ,T","","","","","",""
"USS0005J37S","1989","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       118","T","       118","T","         6","T","","","","","","","","","","","","","","","","","  30.5"," ,T,0402, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1086.8"," ,T","","","","","",""
"USS0005J37S","1990","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       127","T","       127","T","         4","T","","","","","","","        96","T","        23","T","         0","T","","","","","  27.9"," ,T,0708, ","   24.8","T,0702, ","","","","","","","","","","","","","","","","","","","","","","","","","   1035.5"," ,T","","","      6.90","T","",""
"USS0005J37S","1991","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       142","T","       142","T","         1","T","","","","","","","       112","T","         9","T","         0","T","","","","","  45.7"," ,T,0305, ","   23.1","T,0706, ","","","","","","","","","","","","","","","","","","","","","","","","","   1042.9"," ,T","","","      6.61","T","",""
"USS0005J37S","1992","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       145","T","       145","T","         6","T","","","","","","","        99","T","         5","T","         0","T","","","","","  38.1"," ,T,1102,+","   22.7","T,0809, ","","","","","","","","","","","","","","","","","","","","","","","","","   1123.2"," ,T","","","      6.76","T","",""
"USS0005J37S","1993","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       169","T","       169","T","         3","T","","","","","","","","","","","","","","","","","  27.9"," ,T,1007, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1297.0"," ,T","","","","","",""
"USS0005J37S","1994","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       130","T","       130","T","         1","T","","","","","","","","","","","","","","","","","  30.5"," ,T,0425, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    800.7"," ,T","","","","","",""
"USS0005J37S","1995","40.53","-105.89","3084.6","JOE WRIGHT, CO US","      0.0","","       0.0","T","       157","T","       157","T","        13","T","","","        24","T","       283","T","       106","T","        20","T","         0","T","  -24.6","T,0104, ","","","  50.8"," ,T,0430, ","   25.0","T,0729,+","-0.6","T,0801","-2.3","T,0911","-8.2","T,0920","-8.2","T,0920","-9.9","T,0921","-0.2","T,0723","-3.6","T,0625","-6.8","T,0524","-6.8","T,0524","-9.1","T,0510","    6478.7","7","    6478.7","T","   1550.3"," ,T","      0.38","T","      6.44","T","     -5.68","T"
"USS0005J37S","1996","40.53","-105.89","3084.6","JOE WRIGHT, CO US","","","","","       157","T","       157","T","         7","T","","","","","","","       110","T","        27","T","         0","T","","","","","  53.3"," ,T,0131, ","   25.7","T,0812, ","","","","","","","","","","","","","","","","","","","","","    6466.4","4","    6466.4","T","   1306.7"," ,T","","","      6.70","T","",""
"USS0005J37S","1997","40.53","-105.89","3084.6","JOE WRIGHT, CO US","      0.0","","       0.0","T","       172","T","       172","T","         8","T","","","        33","T","       261","T","       113","T","         7","T","         0","T","  -31.3","T,0112, ","","","  40.6"," ,T,0920, ","   23.2","T,0902, ","-2.1","T,0806","-2.9","T,0807","-5.4","T,1008","-11.6","T,1012","-11.6","T,1012","-0.3","T,0714","-2.3","T,0616","-4.4","T,0526","-7.8","T,0512","-9.6","T,0502","","","","","   1285.3"," ,T","      0.08","T","      6.28","T","     -6.12","T"
