"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0005N04S","2007","36.13","-105.53","2621.3","TRES RITOS, NM US","","","","","        97","T","        97","T","         2","T","       92","","","","","","","","","","","","","","   432"," ,T,0202,+","  27.9"," ,T,1201, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    639.1"," ,T","","","","","",""
"USS0005N04S","2008","36.13","-105.53","2621.3","TRES RITOS, NM US","      0.0","","       0.0","T","        90","T","        90","T","         2","T","       93","","         8","T","       194","T","        10","T","        98","T","         0","T","  -22.9","T,0117, ","   635"," ,T,0204, ","  30.5"," ,T,0106, ","   29.3","T,0802, ","-0.3","T,0913","-4.2","T,1013","-4.7","T,1022","-7.3","T,1023","-9.6","T,1106","-0.1","T,0609","-3.3","T,0511","-6.7","T,0503","-6.7","T,0503","-9.7","T,0311","","","","","    638.9"," ,T","      6.51","T","     14.11","T","     -1.08","T"
"USS0005N04S","2009","36.13","-105.53","2621.3","TRES RITOS, NM US","","","","","        96","T","        96","T","         2","T","","","","","","","","","","","","","","","","","  38.1"," ,T,0610, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    603.0"," ,T","","","","","",""
"USS0005N04S","2010","36.13","-105.53","2621.3","TRES RITOS, NM US","      7.8","","       7.8","T","        93","T","        93","T","         3","T","      105","","         1","T","       194","T","        11","T","       110","T","         0","T","  -21.6","T,0223, ","   406"," ,T,0203, ","  35.6"," ,T,0728, ","   29.8","T,0719,+","-1.1","T,1009","-3.2","T,1025","-5.1","T,1026","-8.3","T,1028","-10.3","T,1113","-2.4","T,0525","-2.4","T,0525","-4.4","T,0503","-8.5","T,0501","-9.8","T,0328","    4403.3","3","    4403.3","T","    676.5"," ,T","      6.74","T","     14.23","T","     -0.75","T"
"USS0005N04S","2011","36.13","-105.53","2621.3","TRES RITOS, NM US","","","","","        94","T","        94","T","         0","T","      102","","","","","","","","","","","","","","   229"," ,T,0208, ","  20.3"," ,T,1113,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    539.3"," ,T","","","","","",""
"USS0005N04S","2012","36.13","-105.53","2621.3","TRES RITOS, NM US","","","","","        90","T","        90","T","         2","T","       93","","","","","","","","","","","","","","   254"," ,T,1231, ","  30.5"," ,T,0805, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    503.6"," ,T","","","","","",""
"USS0005N04S","2013","36.13","-105.53","2621.3","TRES RITOS, NM US","","","","","        99","T","        99","T","         1","T","       93","","","","","","","","","","","","","","   305"," ,T,0129,+","  27.9"," ,T,0913, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    564.7"," ,T","","","","","",""
"USS0005N04S","2014","36.13","-105.53","2621.3","TRES RITOS, NM US","      2.0","","       2.0","T","       100","T","       100","T","         1","T","       56","","         2","T","       182","T","        14","T","        82","T","         0","T","  -18.6","T,1227, ","   279"," ,T,1226,+","  35.6"," ,T,1010, ","   29.2","T,0630, ","-0.6","T,1003","-3.1","T,1031","-6.1","T,1105","-7.9","T,1112","-9.0","T,1116","-0.4","T,0525","-3.3","T,0515","-10.1","T,0514","-10.1","T,0514","-10.1","T,0514","    4367.2","2","    4367.2","T","    584.8"," ,T","      6.63","T","     13.62","T","     -0.36","T"
"USS0005N04S","2015","36.13","-105.53","2621.3","TRES RITOS, NM US","      0.9","","       0.9","T","       102","T","       102","T","         4","T","       80","","         0","T","       177","T","        15","T","        97","T","         0","T","  -17.6","T,0102, ","   432"," ,T,1227, ","  38.1"," ,T,1021,+","   30.3","T,0622, ","-1.3","T,1017","-2.2","T,1031","-5.6","T,1105","-7.1","T,1111","-9.5","T,1112","-1.4","T,0524","-4.1","T,0428","-5.2","T,0418","-7.0","T,0417","-10.4","T,0306","    4179.1","1","    4179.1","T","    763.2"," ,T","      7.03","T","     14.00","T","      0.06","T"
"USS0005N04S","2016","36.13","-105.53","2621.3","TRES RITOS, NM US","     11.3","","      11.3","T","        95","T","        95","T","         0","T","       95","","         3","T","       176","T","         9","T","        93","T","         0","T","  -21.3","T,0111, ","   533"," ,T,0203,+","  22.9"," ,T,0416, ","   31.6","T,0619, ","-0.8","T,0926","-3.7","T,1007","-4.9","T,1109","-7.1","T,1118","-10.1","T,1125","-1.4","T,0528","-2.6","T,0508","-5.7","T,0419","-9.8","T,0402","-9.8","T,0402","    4052.5","5","    4052.5","T","    478.6"," ,T","      7.53","T","     14.97","T","      0.09","T"
