"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0005N24S","2014","36.07","-105.63","3250.4","RIO SANTA BARBARA, NM US","       0.7","T","      0.0","","       0.0","T","        91","T","        91","T","         5","T","      196","","         1","T","       178","T","        52","T","         8","T","         0","T","  -19.2","T,0105, ","   940"," ,T,1225, ","  35.6"," ,T,0804, ","   23.8","T,0726, ","-1.5","T,1002","-3.7","T,1013","-4.7","T,1103","-12.2","T,1116","-12.2","T,1116","-1.0","T,0525","-7.4","T,0514","-7.4","T,0514","-7.4","T,0514","-10.5","T,0429","","","","","    659.3"," ,T","      4.35","T","      8.62","T","      0.08","T"
"USS0005N24S","2015","36.07","-105.63","3250.4","RIO SANTA BARBARA, NM US","       0.8","T","      1.2","","       1.2","T","       104","T","       104","T","         4","T","      215","","         0","T","       172","T","        51","T","         7","T","         0","T","  -15.7","T,1216, ","  1219"," ,T,0319,+","  40.6"," ,T,1116, ","   25.3","T,0622, ","-1.2","T,1022","-4.7","T,1031","-4.7","T,1031","-9.4","T,1105","-9.4","T,1105","-1.5","T,0524","-2.4","T,0517","-5.0","T,0428","-8.9","T,0417","-8.9","T,0417","    4911.4","4","    4911.4","T","    740.1"," ,T","      4.80","T","      8.95","T","      0.66","T"
"USS0005N24S","2016","36.07","-105.63","3250.4","RIO SANTA BARBARA, NM US","      20.1","T","      1.5","","       1.5","T","       100","T","       100","T","         1","T","      184","","         2","T","       168","T","        50","T","        33","T","         0","T","  -20.5","T,0204, ","  1422"," ,T,0203,+","  25.4"," ,T,0804, ","   27.7","T,0619, ","-2.3","T,1004","-2.3","T,1004","-8.9","T,1117","-8.9","T,1117","-8.9","T,1117","-1.2","T,0527","-5.1","T,0502","-5.1","T,0502","-7.1","T,0401","-9.7","T,0331","    5024.4","4","    5024.4","T","    636.0"," ,T","      5.19","T","      9.63","T","      0.74","T"
"USS0005N24S","2017","36.07","-105.63","3250.4","RIO SANTA BARBARA, NM US","","","","","","","        97","T","        97","T","         2","T","      190","","","","","","","","","","","","","","  1321"," ,T,0404, ","  30.5"," ,T,0928, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    745.6"," ,T","","","","","",""
"USS0005N24S","2018","36.07","-105.63","3250.4","RIO SANTA BARBARA, NM US","       1.0","T","      3.6","","       3.6","T","        96","T","        96","T","         1","T","      193","","         1","T","       180","T","        44","T","        35","T","         0","T","  -17.8","T,1229, ","   864"," ,T,1227, ","  30.5"," ,T,0716, ","   25.8","T,0627, ","-0.1","T,1008","-3.2","T,1015","-4.7","T,1031","-7.0","T,1101","-11.7","T,1111","-1.3","T,0504","-4.5","T,0503","-4.5","T,0503","-10.1","T,0414","-10.1","T,0414","","","","","    628.3"," ,T","      5.57","T","     10.03","T","      1.11","T"
"USS0005N24S","2019","36.07","-105.63","3250.4","RIO SANTA BARBARA, NM US","       1.1","T","      0.2","","       0.2","T","       109","T","       109","T","         5","T","      216","","         1","T","       178","T","        58","T","        23","T","         0","T","  -18.3","T,1217, ","  1778"," ,T,0314,+","  33.0"," ,T,0313, ","   24.0","T,0720, ","-7.0","T,1010","-7.0","T,1010","-7.0","T,1010","-7.0","T,1010","-9.5","T,1028","-3.0","T,0528","-3.0","T,0528","-5.4","T,0521","-7.2","T,0412","-8.9","T,0401","    5091.5","5","    5091.5","T","    788.4"," ,T","      4.61","T","      9.04","T","      0.17","T"
"USS0005N24S","2020","36.07","-105.63","3250.4","RIO SANTA BARBARA, NM US","","","      4.4","","       4.4","T","        73","T","        73","T","         0","T","      189","","         1","T","       162","T","        51","T","        52","T","         0","T","  -19.1","T,0205, ","  1118"," ,T,0313, ","  22.9"," ,T,0313, ","   27.4","T,0711, ","-0.4","T,0909","-2.3","T,1025","-9.3","T,1026","-9.3","T,1026","-9.3","T,1026","-4.5","T,0609","-4.5","T,0609","-4.5","T,0609","-8.7","T,0415","-11.8","T,0414","    4713.3","3","    4713.3","T","    440.5"," ,T","      5.91","T","     10.61","T","      1.21","T"
"USS0005N24S","2021","36.07","-105.63","3250.4","RIO SANTA BARBARA, NM US","","","      1.3","","       1.3","T","        86","T","        86","T","         1","T","","","         0","T","       163","T","        45","T","        30","T","         0","T","  -16.4","T,1210, ","","","  33.0"," ,T,1224, ","   26.5","T,0614, ","-6.4","T,1012","-6.4","T,1012","-6.4","T,1012","-6.9","T,1015","-16.4","T,1210","-0.4","T,0504","-5.4","T,0419","-5.4","T,0419","-7.3","T,0418","-9.3","T,0331","    4621.9","9","    4621.9","T","    725.4"," ,T","      5.49","T","      9.99","T","      0.98","T"
"USS0005N24S","2022","36.07","-105.63","3250.4","RIO SANTA BARBARA, NM US","       0.9","T","      0.8","","       0.8","T","       110","T","       110","T","         4","T","      198","","         3","T","       176","T","        58","T","        24","T","         0","T","  -19.7","T,0203, ","  1168"," ,T,0310, ","  35.6"," ,T,0920, ","   24.5","T,0611, ","-0.4","T,1017","-5.5","T,1023","-5.5","T,1023","-8.2","T,1024","-9.3","T,1110","-2.2","T,0525","-2.2","T,0525","-4.8","T,0423","-6.7","T,0414","-11.7","T,0413","    4592.4","4","    4592.4","T","    818.9"," ,T","      4.78","T","      9.26","T","      0.30","T"
"USS0005N24S","2023","36.07","-105.63","3250.4","RIO SANTA BARBARA, NM US","","","      5.5","","       5.5","T","        97","T","        97","T","         4","T","      173","","         1","T","       169","T","        69","T","        36","T","         0","T","  -19.4","T,0216, ","  1753"," ,T,0324,+","  48.3"," ,T,0316, ","   26.8","T,0718, ","-2.4","T,1012","-2.4","T,1012","-6.5","T,1029","-9.1","T,1030","-9.1","T,1030","-1.2","T,0511","-4.8","T,0428","-4.8","T,0428","-6.8","T,0426","-8.9","T,0421","    5202.0","0","    5202.0","T","    623.2"," ,T","      4.77","T","      9.27","T","      0.27","T"
