"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0005P08S","1990","35.78","-105.54","3389.4","WESNER SPRINGS, NM US","","","","","       131","T","       131","T","         8","T","","","","","","","        70","T","        21","T","         0","T","","","","","  48.3"," ,T,0906, ","   25.3","T,0701, ","","","","","","","","","","","","","","","","","","","","","","","","","   1197.6"," ,T","","","      8.69","T","",""
"USS0005P08S","1991","35.78","-105.54","3389.4","WESNER SPRINGS, NM US","","","","","       135","T","       135","T","        15","T","","","","","","","        80","T","         6","T","         0","T","","","","","  61.0"," ,T,0301, ","   23.2","T,0707, ","","","","","","","","","","","","","","","","","","","","","","","","","   1395.5"," ,T","","","      7.90","T","",""
"USS0005P08S","1992","35.78","-105.54","3389.4","WESNER SPRINGS, NM US","      0.0","","       0.0","T","       128","T","       128","T","         7","T","","","         8","T","       219","T","        71","T","         5","T","         0","T","  -20.5","T,1214, ","","","  43.2"," ,T,1204,+","   22.9","T,0707, ","-1.6","T,0827","-6.6","T,1007","-6.6","T,1007","-7.0","T,1008","-10.6","T,1101","-2.6","T,0609","-2.6","T,0609","-8.8","T,0421","-8.8","T,0421","-11.7","T,0420","    5470.6","6","    5470.6","T","    988.7"," ,T","      2.02","T","      8.09","T","     -4.06","T"
"USS0005P08S","1993","35.78","-105.54","3389.4","WESNER SPRINGS, NM US","","","","","       133","T","       133","T","         6","T","","","","","","","","","","","","","","","","","  53.3"," ,T,0108, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1131.3"," ,T","","","","","",""
"USS0005P08S","1994","35.78","-105.54","3389.4","WESNER SPRINGS, NM US","","","","","       136","T","       136","T","        13","T","","","","","","","","","","","","","","","","","  83.8"," ,T,0312, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1301.2"," ,T","","","","","",""
"USS0005P08S","1995","35.78","-105.54","3389.4","WESNER SPRINGS, NM US","      0.0","","       0.0","T","       116","T","       116","T","        10","T","","","         4","T","       244","T","        59","T","        21","T","         0","T","  -20.4","T,0118, ","","","  53.3"," ,T,0824, ","   26.0","T,0728, ","-3.4","T,0921","-3.4","T,0921","-7.6","T,1004","-7.6","T,1004","-11.9","T,1022","-1.3","T,0705","-3.4","T,0611","-6.0","T,0518","-7.6","T,0508","-10.4","T,0424","    5857.9","9","    5857.9","T","   1031.8"," ,T","      2.60","T","      8.58","T","     -3.39","T"
"USS0005P08S","1996","35.78","-105.54","3389.4","WESNER SPRINGS, NM US","      0.0","","       0.0","T","       132","T","       132","T","         6","T","","","        12","T","       215","T","        68","T","        18","T","         0","T","  -28.0","T,1218, ","","","  61.0"," ,T,0707, ","   25.3","T,0704, ","-1.5","T,0914","-6.4","T,0918","-6.4","T,0918","-7.0","T,0919","-15.6","T,1021","-1.4","T,0607","-3.5","T,0527","-14.1","T,0429","-14.1","T,0429","-14.1","T,0429","    5471.1","1","    5471.1","T","    945.0"," ,T","      2.78","T","      8.87","T","     -3.30","T"
"USS0005P08S","1997","35.78","-105.54","3389.4","WESNER SPRINGS, NM US","      0.0","","       0.0","T","       161","T","       161","T","        12","T","","","        14","T","       233","T","        80","T","        10","T","         0","T","  -20.3","T,1211, ","","","  55.9"," ,T,0425,+","   23.7","T,0714, ","-0.4","T,0923","-7.6","T,1008","-7.6","T,1008","-7.6","T,1008","-11.3","T,1012","-0.5","T,0704","-3.0","T,0528","-9.7","T,0502","-9.7","T,0502","-9.7","T,0502","    5858.1","1","    5858.1","T","   1313.3"," ,T","      2.10","T","      8.07","T","     -3.87","T"
"USS0005P08S","1998","35.78","-105.54","3389.4","WESNER SPRINGS, NM US","      0.2","","       0.2","T","       139","T","       139","T","        10","T","","","         4","T","       228","T","        68","T","        13","T","         0","T","  -23.8","T,0228, ","",""," 101.6"," ,T,0315, ","   26.8","T,0629, ","-0.7","T,1001","-4.4","T,1004","-4.4","T,1004","-8.0","T,1005","-10.0","T,1017","-0.8","T,0618","-2.3","T,0606","-7.8","T,0515","-7.8","T,0515","-12.6","T,0419","    5912.5","5","    5912.5","T","   1235.2"," ,T","      2.51","T","      8.40","T","     -3.38","T"
"USS0005P08S","1999","35.78","-105.54","3389.4","WESNER SPRINGS, NM US","      0.0","","       0.0","T","       121","T","       121","T","         6","T","","","         4","T","       224","T","        54","T","         7","T","         0","T","  -20.2","T,0211, ","","","  53.3"," ,T,0429, ","   23.8","T,0701, ","-0.5","T,0918","-4.1","T,0928","-11.2","T,1016","-11.2","T,1016","-11.2","T,1016","-0.2","T,0614","-2.2","T,0525","-7.8","T,0507","-7.8","T,0507","-13.8","T,0506","    5657.1","1","    5657.1","T","   1021.8"," ,T","      2.88","T","      8.75","T","     -2.99","T"
