"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0006P10S","1981","36.0","-106.83","2621.3","SENORITA DIVIDE NUMBER 2, NM US","","","","","","","       112","T","       112","T","         3","T","","","","","","","","","","","","","","","","","  43.2"," ,T,0731, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    732.2"," ,T","","","","","",""
"USS0006P10S","1982","36.0","-106.83","2621.3","SENORITA DIVIDE NUMBER 2, NM US","","","","","","","       103","T","       103","T","         5","T","","","","","","","","","","","","","","","","","  38.1"," ,T,0326, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    840.2"," ,T","","","","","",""
"USS0006P10S","1983","36.0","-106.83","2621.3","SENORITA DIVIDE NUMBER 2, NM US","","","","","","","       117","T","       117","T","         9","T","","","","","","","","","","","","","","","","","  40.6"," ,T,1225, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    984.6"," ,T","","","","","",""
"USS0006P10S","1984","36.0","-106.83","2621.3","SENORITA DIVIDE NUMBER 2, NM US","","","","","","","       108","T","       108","T","         2","T","","","","","","","","","","","","","","","","","  38.1"," ,T,0326, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    760.6"," ,T","","","","","",""
"USS0006P10S","1985","36.0","-106.83","2621.3","SENORITA DIVIDE NUMBER 2, NM US","","","","","","","       101","T","       101","T","         5","T","","","","","","","","","","","","","","","","","  55.9"," ,T,0311, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    832.4"," ,T","","","","","",""
"USS0006P10S","1986","36.0","-106.83","2621.3","SENORITA DIVIDE NUMBER 2, NM US","","","","","","","       103","T","       103","T","         5","T","","","","","","","","","","","","","","","","","  50.8"," ,T,1011, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    928.7"," ,T","","","","","",""
"USS0006P10S","1987","36.0","-106.83","2621.3","SENORITA DIVIDE NUMBER 2, NM US","","","","","","","        92","T","        92","T","         1","T","","","","","","","","","","","","","","","","","  38.1"," ,T,1103, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    618.8"," ,T","","","","","",""
"USS0006P10S","1988","36.0","-106.83","2621.3","SENORITA DIVIDE NUMBER 2, NM US","","","","","","","        94","T","        94","T","         3","T","","","","","","","","","","","","","","","","","  43.2"," ,T,0827, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    669.6"," ,T","","","","","",""
"USS0006P10S","1989","36.0","-106.83","2621.3","SENORITA DIVIDE NUMBER 2, NM US","","","     10.8","","      10.8","T","        55","T","        55","T","         5","T","","","         8","T","       194","T","        12","T","       137","T","         0","T","  -23.2","T,0206, ","","","  40.6"," ,T,1004, ","   31.6","T,0708,+","0.0","T,0913","-2.5","T,1017","-6.8","T,1019","-6.8","T,1019","-10.1","T,1030","-0.7","T,0531","-2.4","T,0513","-4.8","T,0430","-12.1","T,0321","-12.1","T,0321","","","","","    471.6"," ,T","      7.26","T","     16.59","T","     -2.07","T"
"USS0006P10S","1990","36.0","-106.83","2621.3","SENORITA DIVIDE NUMBER 2, NM US","","","      0.9","","       0.9","T","       115","T","       115","T","         4","T","","","        13","T","       209","T","        19","T","        91","T","         0","T","  -26.2","T,1223, ","","","  30.5"," ,T,0821, ","   30.3","T,0624, ","-1.7","T,1003","-2.3","T,1004","-7.5","T,1009","-7.5","T,1009","-9.9","T,1021","-0.3","T,0617","-2.6","T,0602","-6.2","T,0402","-9.1","T,0331","-9.1","T,0331","    3746.9","9","    3746.9","T","    892.7"," ,T","      5.73","T","     14.52","T","     -3.06","T"
