"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0007M16S","1987","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","        83","T","        83","T","         3","T","","","","","","","        63","T","        66","T","         0","T","","","","","  40.6"," ,T,0224, ","   27.5","T,0723, ","","","","","","","","","","","","","","","","","","","","","","","","","    555.2"," ,T","","","     10.44","T","",""
"USS0007M16S","1988","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","        97","T","        97","T","         0","T","","","","","","","        62","T","        57","T","         0","T","","","","","  22.9"," ,T,0609, ","   28.0","T,0722, ","","","","","","","","","","","","","","","","","","","","","","","","","    536.9"," ,T","","","     10.89","T","",""
"USS0007M16S","1989","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","        62","T","        62","T","         3","T","","","","","","","        50","T","        49","T","         0","T","","","","","  48.3"," ,T,0731, ","   30.6","T,0705, ","","","","","","","","","","","","","","","","","","","","","","","","","    453.7"," ,T","","","     11.69","T","",""
"USS0007M16S","1990","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","       111","T","       111","T","         3","T","","","","","","","        57","T","        50","T","         0","T","","","","","  30.5"," ,T,0928,+","   28.6","T,0623, ","","","","","","","","","","","","","","","","","","","","","","","","","    704.3"," ,T","","","     10.54","T","",""
"USS0007M16S","1991","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","        92","T","        92","T","         2","T","","","","","","","        63","T","        60","T","         0","T","","","","","  40.6"," ,T,1115, ","   26.8","T,0702, ","","","","","","","","","","","","","","","","","","","","","","","","","    544.4"," ,T","","","     10.66","T","",""
"USS0007M16S","1992","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","        84","T","        84","T","         1","T","","","","","","","        60","T","        48","T","         0","T","","","","","  43.2"," ,T,0824, ","   27.5","T,0705, ","","","","","","","","","","","","","","","","","","","","","","","","","    448.0"," ,T","","","     10.97","T","",""
"USS0007M16S","1993","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","        99","T","        99","T","         0","T","","","","","","","        35","T","        64","T","         0","T","","","","","  20.3"," ,T,0829,+","   28.6","T,0801, ","","","","","","","","","","","","","","","","","","","","","","","","","    498.6"," ,T","","","     11.05","T","",""
"USS0007M16S","1994","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","       115","T","       115","T","         1","T","","","","","","","","","","","","","","","","","  25.4"," ,T,1014, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    600.1"," ,T","","","","","",""
"USS0007M16S","1995","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","      0.0","","       0.0","T","       109","T","       109","T","         1","T","","","        41","T","       281","T","        34","T","        62","T","         0","T","  -30.3","T,0118, ","","","  45.7"," ,T,0617, ","   29.1","T,0727, ","-0.5","T,0911","-2.3","T,0919","-6.8","T,0922","-6.8","T,0922","-10.6","T,1006","-0.8","T,0723","-2.5","T,0619","-4.8","T,0528","-8.2","T,0501","-9.3","T,0425","    5954.6","6","    5954.6","T","    495.6"," ,T","      2.46","T","     11.61","T","     -6.68","T"
"USS0007M16S","1996","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","      0.0","","       0.0","T","        94","T","        94","T","         3","T","","","        49","T","       258","T","        42","T","        78","T","         0","T","  -34.2","T,1218, ","","","  43.2"," ,T,1027, ","   28.4","T,0723, ","-1.7","T,0908","-6.0","T,0918","-6.0","T,0918","-7.7","T,0919","-9.6","T,0927","-0.7","T,0624","-2.6","T,0602","-5.4","T,0430","-13.9","T,0429","-13.9","T,0429","    5554.1","1","    5554.1","T","    549.4"," ,T","      2.50","T","     11.80","T","     -6.79","T"
