"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0008M06S","1987","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","","","","","       134","T","       134","T","         4","T","","","","","","","        56","T","        17","T","         0","T","","","","","  53.3"," ,T,0822, ","   23.8","T,0724, ","","","","","","","","","","","","","","","","","","","","","","","","","    902.4"," ,T","","","      9.55","T","",""
"USS0008M06S","1988","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","","","","","       118","T","       118","T","         4","T","","","","","","","        59","T","        25","T","         0","T","","","","","  33.0"," ,T,1225, ","   24.4","T,0623, ","","","","","","","","","","","","","","","","","","","","","","","","","    928.6"," ,T","","","      9.80","T","",""
"USS0008M06S","1989","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","","","","","        71","T","        71","T","         4","T","","","","","","","        43","T","        26","T","         0","T","","","","","  30.5"," ,T,0203, ","   27.2","T,0705, ","","","","","","","","","","","","","","","","","","","","","","","","","    560.7"," ,T","","","     10.38","T","",""
"USS0008M06S","1990","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","","","","","       121","T","       121","T","         1","T","","","","","","","        52","T","        33","T","         0","T","","","","","  30.5"," ,T,0501, ","   25.7","T,0629, ","","","","","","","","","","","","","","","","","","","","","","","","","    833.8"," ,T","","","      9.75","T","",""
"USS0008M06S","1991","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","","","","","       135","T","       135","T","         7","T","","","","","","","        47","T","        20","T","         0","T","","","","","  38.1"," ,T,1115, ","   23.4","T,0706,+","","","","","","","","","","","","","","","","","","","","","","","","","    927.5"," ,T","","","      9.49","T","",""
"USS0008M06S","1992","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","","","","","       120","T","       120","T","         3","T","","","        36","T","       256","T","        35","T","        17","T","         0","T","  -23.9","T,1219, ","","","  35.6"," ,T,0213, ","   24.2","T,0705, ","-1.2","T,0824","-3.1","T,0826","-5.0","T,0926","-8.1","T,1007","-9.0","T,1008","-1.0","T,0714","-3.1","T,0702","-5.7","T,0511","-7.2","T,0510","-8.9","T,0419","    5286.0","0","    5286.0","T","    841.8"," ,T","      1.84","T","     10.02","T","     -6.34","T"
"USS0008M06S","1993","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","","","","","       133","T","       133","T","         6","T","","","","","","","","","","","","","","","","","  43.2"," ,T,0219, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1003.8"," ,T","","","","","",""
"USS0008M06S","1994","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","      0.0","","       0.0","T","       139","T","       139","T","         2","T","","","        31","T","       250","T","        50","T","        47","T","         0","T","  -28.0","T,0131, ","","","  35.6"," ,T,1112, ","   25.2","T,0727, ","-0.3","T,0905","-4.1","T,0915","-6.1","T,1006","-7.2","T,1007","-9.7","T,1016","0.0","T,0708","-5.7","T,0526","-5.7","T,0526","-11.2","T,0430","-11.2","T,0430","","","","","    873.9"," ,T","      2.19","T","     10.49","T","     -6.11","T"
"USS0008M06S","1995","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","      0.0","","       0.0","T","       148","T","       148","T","         4","T","","","        27","T","       278","T","        42","T","        31","T","         0","T","  -24.9","T,1223, ","","","  43.2"," ,T,0617, ","   26.2","T,0728, ","0.0","T,0911","-2.8","T,0919","-5.3","T,0921","-7.8","T,0922","-9.3","T,1005","-2.6","T,0705","-2.6","T,0705","-6.3","T,0618","-7.6","T,0609","-9.2","T,0503","    6015.5","5","    6015.5","T","    934.8"," ,T","      2.05","T","     10.07","T","     -5.97","T"
"USS0008M06S","1996","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","      0.0","","       0.0","T","       146","T","       146","T","         5","T","","","        36","T","       260","T","        57","T","        47","T","         0","T","  -31.7","T,1217, ","","","  73.7"," ,T,1003, ","   27.6","T,0813, ","-1.4","T,0907","-2.6","T,0917","-10.3","T,0918","-10.3","T,0918","-10.3","T,0918","-0.8","T,0629","-3.2","T,0602","-4.8","T,0526","-15.4","T,0429","-15.4","T,0429","    5733.8","8","    5733.8","T","   1019.0"," ,T","      2.24","T","     10.51","T","     -6.02","T"
