"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0011E37S","1982","44.44","-111.99","2090.9","CRAB CREEK, ID US","","","","","       130","T","       130","T","         6","T","","","","","","","","","","","","","","","","","  50.8"," ,T,1221, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1032.3"," ,T","","","","","",""
"USS0011E37S","1983","44.44","-111.99","2090.9","CRAB CREEK, ID US","","","","","       132","T","       132","T","         7","T","","","","","","","","","","","","","","","","","  38.1"," ,T,0313, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1174.7"," ,T","","","","","",""
"USS0011E37S","1984","44.44","-111.99","2090.9","CRAB CREEK, ID US","","","","","       116","T","       116","T","         2","T","","","","","","","","","","","","","","","","","  53.3"," ,T,0606, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    875.2"," ,T","","","","","",""
"USS0011E37S","1985","44.44","-111.99","2090.9","CRAB CREEK, ID US","","","","","        88","T","        88","T","         3","T","","","","","","","","","","","","","","","","","  43.2"," ,T,0911, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    664.4"," ,T","","","","","",""
"USS0011E37S","1986","44.44","-111.99","2090.9","CRAB CREEK, ID US","","","","","       106","T","       106","T","         3","T","","","","","","","","","","","","","","","","","  25.4"," ,T,0510,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    651.1"," ,T","","","","","",""
"USS0011E37S","1987","44.44","-111.99","2090.9","CRAB CREEK, ID US","","","","","        84","T","        84","T","         3","T","","","","","","","","","","","","","","","","","  48.3"," ,T,0710, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    659.4"," ,T","","","","","",""
"USS0011E37S","1988","44.44","-111.99","2090.9","CRAB CREEK, ID US","","","","","        83","T","        83","T","         4","T","","","","","","","","","","","","","","","","","  45.7"," ,T,0420, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    621.7"," ,T","","","","","",""
"USS0011E37S","1989","44.44","-111.99","2090.9","CRAB CREEK, ID US","","","","","        98","T","        98","T","         0","T","","","","","","","","","","","","","","","","","  20.3"," ,T,0917,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    565.0"," ,T","","","","","",""
"USS0011E37S","1990","44.44","-111.99","2090.9","CRAB CREEK, ID US","     65.0","","      65.0","T","        89","T","        89","T","         1","T","","","        15","T","       186","T","        99","T","        70","T","         0","T","  -33.3","T,1222, ","","","  43.2"," ,T,0610, ","   32.1","T,0807, ","-3.2","T,1002","-3.2","T,1002","-6.2","T,1006","-7.8","T,1008","-9.2","T,1020","-1.8","T,0613","-2.5","T,0601","-6.1","T,0509","-10.0","T,0429","-10.0","T,0429","    4957.6","6","    4957.6","T","    534.2"," ,T","      3.26","T","      8.26","T","     -1.73","T"
"USS0011E37S","1991","44.44","-111.99","2090.9","CRAB CREEK, ID US","","","","","       102","T","       102","T","         2","T","","","","","","","       100","T","        73","T","         0","T","","","","","  38.1"," ,T,0508, ","   29.4","T,0831, ","","","","","","","","","","","","","","","","","","","","","    4947.4","4","    4947.4","T","    717.4"," ,T","","","      8.49","T","",""
