"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0011G32S","1981","42.05","-111.6","2490.2","FRANKLIN BASIN, ID US","","","","","       127","T","       127","T","         9","T","","","","","","","","","","","","","","","","","  58.4"," ,T,0521, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1213.0"," ,T","","","","","",""
"USS0011G32S","1982","42.05","-111.6","2490.2","FRANKLIN BASIN, ID US","","","","","       151","T","       151","T","        10","T","","","","","","","","","","","","","","","",""," 119.4"," ,T,0411, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1474.1"," ,T","","","","","",""
"USS0011G32S","1983","42.05","-111.6","2490.2","FRANKLIN BASIN, ID US","","","","","       189","T","       189","T","        11","T","","","","","","","","","","","","","","","","","  81.3"," ,T,1217, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1669.7"," ,T","","","","","",""
"USS0011G32S","1984","42.05","-111.6","2490.2","FRANKLIN BASIN, ID US","","","","","       160","T","       160","T","         9","T","","","","","","","","","","","","","","","","","  61.0"," ,T,0104, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1342.0"," ,T","","","","","",""
"USS0011G32S","1985","42.05","-111.6","2490.2","FRANKLIN BASIN, ID US","","","","","       142","T","       142","T","         7","T","","","","","","","","","","","","","","","","","  38.1"," ,T,1124, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1072.9"," ,T","","","","","",""
"USS0011G32S","1986","42.05","-111.6","2490.2","FRANKLIN BASIN, ID US","","","","","       130","T","       130","T","        12","T","","","","","","","","","","","","","","","","","  63.5"," ,T,0223, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1245.6"," ,T","","","","","",""
"USS0011G32S","1987","42.05","-111.6","2490.2","FRANKLIN BASIN, ID US","","","","","       121","T","       121","T","         3","T","","","","","","","","","","","","","","","","","  71.1"," ,T,0721, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    856.8"," ,T","","","","","",""
"USS0011G32S","1988","42.05","-111.6","2490.2","FRANKLIN BASIN, ID US","","","","","       131","T","       131","T","         4","T","","","","","","","","","","","","","","","","","  33.0"," ,T,0209, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    927.9"," ,T","","","","","",""
"USS0011G32S","1989","42.05","-111.6","2490.2","FRANKLIN BASIN, ID US","","","","","       135","T","       135","T","         5","T","","","","","","","","","","","","","","","","","  53.3"," ,T,0201, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    963.4"," ,T","","","","","",""
"USS0011G32S","1990","42.05","-111.6","2490.2","FRANKLIN BASIN, ID US","","","","","       129","T","       129","T","         5","T","","","","","","","","","","","","","","","","","  45.7"," ,T,0428, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    976.8"," ,T","","","","","",""
