"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0011J69S","2000","40.83","-111.76","2042.2","LOUIS MEADOW, UT US","","","","","","","        94","T","        94","T","         7","T","","","","","","","","","","","","","","","","","  53.3"," ,T,0212, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    956.8"," ,T","","","","","",""
"USS0011J69S","2001","40.83","-111.76","2042.2","LOUIS MEADOW, UT US","","","","","","","        82","T","        82","T","         7","T","","","","","","","","","","","","","","","","","  61.0"," ,T,1122, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    888.6"," ,T","","","","","",""
"USS0011J69S","2002","40.83","-111.76","2042.2","LOUIS MEADOW, UT US","","","","","","","        77","T","        77","T","         7","T","      181","","","","","","","","","","","","","","  1575"," ,T,0317, ","  40.6"," ,T,0521, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    679.8"," ,T","","","","","",""
"USS0011J69S","2003","40.83","-111.76","2042.2","LOUIS MEADOW, UT US","","","","","","","        93","T","        93","T","         7","T","      172","","","","","","","","","","","","","","  1753"," ,T,1231, ","  40.6"," ,T,1225, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    911.1"," ,T","","","","","",""
"USS0011J69S","2004","40.83","-111.76","2042.2","LOUIS MEADOW, UT US","","","","","","","        95","T","        95","T","         8","T","      179","","","","","","","","","","","","","","  1803"," ,T,0228, ","  40.6"," ,T,1023,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    905.6"," ,T","","","","","",""
"USS0011J69S","2005","40.83","-111.76","2042.2","LOUIS MEADOW, UT US","","","","","","","       104","T","       104","T","        12","T","","","","","","","","","","","","","","","","","  40.6"," ,T,1126,+","","","","","","","","","","","","","","","","","","","","","","","","","","","   1170.1"," ,T","","","","","",""
"USS0011J69S","2006","40.83","-111.76","2042.2","LOUIS MEADOW, UT US","","","","","","","       134","T","       134","T","         4","T","      201","","","","","","","","","","","","","","  2032"," ,T,0406, ","  68.6"," ,T,0406, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1082.8"," ,T","","","","","",""
"USS0011J69S","2007","40.83","-111.76","2042.2","LOUIS MEADOW, UT US","","","     96.7","","      96.7","T","        93","T","        93","T","         5","T","      140","","         5","T","       153","T","        46","T","       108","T","         0","T","  -22.4","T,0115, ","  1372"," ,T,0302, ","  71.1"," ,T,0606, ","   30.9","T,0706, ","-0.2","T,0924","-3.1","T,0930","-4.7","T,1021","-6.8","T,1120","-9.3","T,1121","-1.4","T,0523","-3.7","T,0419","-7.1","T,0411","-7.1","T,0411","-16.1","T,0303","","","","","    837.3"," ,T","      6.95","T","     12.77","T","      1.13","T"
"USS0011J69S","2008","40.83","-111.76","2042.2","LOUIS MEADOW, UT US","       1.3","T","     47.6","","      47.6","T","       106","T","       106","T","         4","T","      199","","         3","T","       176","T","        46","T","       100","T","         0","T","  -20.3","T,0116, ","  1753"," ,T,0206, ","  35.6"," ,T,0109, ","   29.9","T,0801, ","-3.1","T,1010","-3.1","T,1010","-6.3","T,1012","-8.2","T,1105","-9.0","T,1205","-0.2","T,0608","-2.4","T,0513","-6.7","T,0502","-6.7","T,0502","-9.2","T,0416","    4653.7","7","    4653.7","T","    905.0"," ,T","      5.86","T","     11.59","T","      0.14","T"
"USS0011J69S","2009","40.83","-111.76","2042.2","LOUIS MEADOW, UT US","       1.1","T","     52.9","","      52.9","T","       114","T","       114","T","        11","T","      195","","         5","T","       162","T","        45","T","        90","T","         0","T","  -20.7","T,1208, ","  1600"," ,T,0217, ","  53.3"," ,T,1213, ","   31.1","T,0723, ","-0.9","T,0930","-3.8","T,1001","-5.1","T,1028","-7.1","T,1029","-11.2","T,1114","-1.0","T,0513","-4.4","T,0427","-4.4","T,0427","-7.5","T,0405","-9.9","T,0331","    4266.5","5","    4266.5","T","   1111.1"," ,T","      6.33","T","     11.89","T","      0.76","T"
