"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0011R05S","2000","34.75","-111.41","2325.6","HAPPY JACK, AZ US","    143.0","","     143.0","T","        67","T","        67","T","         4","T","","","         0","T","       180","T","         8","T","       152","T","         9","T","  -14.4","T,1116, ","","","  35.6"," ,T,0306, ","   34.0","T,0719, ","-3.2","T,1012","-3.2","T,1012","-4.9","T,1013","-6.7","T,1101","-13.6","T,1112","-1.5","T,0517","-4.7","T,0419","-4.7","T,0419","-7.3","T,0321","-9.7","T,0310","    3195.6","6","    3195.6","T","    657.3"," ,T","      9.58","T","     17.48","T","      1.68","T"
"USS0011R05S","2001","34.75","-111.41","2325.6","HAPPY JACK, AZ US","","","","","        73","T","        73","T","         5","T","","","","","","","","","","","","","","","","","  38.1"," ,T,1204, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    616.1"," ,T","","","","","",""
"USS0011R05S","2002","34.75","-111.41","2325.6","HAPPY JACK, AZ US","","","","","        67","T","        67","T","         2","T","","","","","","","","","","","","","","","","","  30.5"," ,T,1109, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    456.3"," ,T","","","","","",""
"USS0011R05S","2003","34.75","-111.41","2325.6","HAPPY JACK, AZ US","","","","","        66","T","        66","T","         9","T","","","","","","","","","","","","","","","","","  40.6"," ,T,1112, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    677.5"," ,T","","","","","",""
"USS0011R05S","2004","34.75","-111.41","2325.6","HAPPY JACK, AZ US","","","","","        71","T","        71","T","         5","T","","","","","","","","","","","","","","","",""," 109.2"," ,T,0919, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    669.4"," ,T","","","","","",""
"USS0011R05S","2005","34.75","-111.41","2325.6","HAPPY JACK, AZ US","","","","","        91","T","        91","T","        11","T","","","","","","","","","","","","","","","","","  50.8"," ,T,0104, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    951.8"," ,T","","","","","",""
"USS0011R05S","2006","34.75","-111.41","2325.6","HAPPY JACK, AZ US","","","","","        71","T","        71","T","         1","T","","","","","","","","","","","","","","","","","  30.5"," ,T,0311, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    474.0"," ,T","","","","","",""
"USS0011R05S","2007","34.75","-111.41","2325.6","HAPPY JACK, AZ US","","","","","        73","T","        73","T","         5","T","      103","","","","","","","","","","","","","","   737"," ,T,0219,+","  55.9"," ,T,1130, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    687.8"," ,T","","","","","",""
"USS0011R05S","2009","34.75","-111.41","2325.6","HAPPY JACK, AZ US","","","","","        57","T","        57","T","         5","T","      118","","         0","T","       128","T","","","","","","","  -11.8","T,0213, ","   889"," ,T,0210,+","  53.3"," ,T,1207, ","","","-0.3","T,1001","-7.6","T,1028","-7.6","T,1028","-7.6","T,1028","-9.8","T,1029","-0.1","T,0427","-2.8","T,0426","-7.0","T,0417","-7.0","T,0417","-10.9","T,0218","","","","","    522.1"," ,T","","","","","      3.55","T"
"USS0011R05S","2010","34.75","-111.41","2325.6","HAPPY JACK, AZ US","     78.1","","      78.1","T","        71","T","        71","T","        11","T","","","         1","T","       136","T","         9","T","       111","T","         0","T","  -19.8","T,1231, ","","","  91.4"," ,T,0121, ","   30.4","T,0718,+","-1.2","T,1026","-2.3","T,1027","-4.8","T,1109","-8.7","T,1125","-11.3","T,1129","-1.9","T,0524","-2.2","T,0512","-6.0","T,0430","-7.2","T,0312","-11.7","T,0311","","","","","    916.4"," ,T","      9.20","T","     15.07","T","      3.33","T"
"USS0011R05S","2011","34.75","-111.41","2325.6","HAPPY JACK, AZ US","    101.1","","     101.1","T","        64","T","        64","T","         4","T","      163","","         2","T","       132","T","         9","T","       120","T","         0","T","  -20.0","T,0101, ","   965"," ,T,0227, ","  45.7"," ,T,0219, ","   30.0","T,0824, ","-0.6","T,1006","-2.6","T,1102","-6.1","T,1108","-10.8","T,1204","-10.8","T,1204","-1.5","T,0519","-4.2","T,0411","-10.0","T,0410","-10.0","T,0410","-10.0","T,0410","    3335.2","2","    3335.2","T","    591.1"," ,T","      9.24","T","     15.51","T","      2.97","T"
"USS0011R05S","2012","34.75","-111.41","2325.6","HAPPY JACK, AZ US","     80.0","","      80.0","T","        70","T","        70","T","         4","T","      120","","         0","T","       105","T","         5","T","       126","T","         0","T","  -12.5","T,1228, ","   660"," ,T,0318, ","  50.8"," ,T,0318, ","   30.5","T,0710, ","0.0","T,1013","-9.4","T,1110","-9.4","T,1110","-9.4","T,1110","-9.4","T,1110","-1.5","T,0527","-2.2","T,0415","-8.3","T,0320","-8.3","T,0320","-8.9","T,0319","    3099.3","3","    3099.3","T","    596.0"," ,T","     10.30","T","     16.46","T","      4.14","T"
"USS0011R05S","2013","34.75","-111.41","2325.6","HAPPY JACK, AZ US","     49.3","","      49.3","T","        68","T","        68","T","         5","T","      150","","         1","T","       124","T","        19","T","       105","T","         1","T","  -17.8","T,0114, ","   914"," ,T,0210, ","  48.3"," ,T,0126, ","   32.9","T,0628, ","-1.7","T,1004","-3.1","T,1011","-6.1","T,1124","-7.4","T,1204","-10.1","T,1205","-0.7","T,0508","-3.7","T,0419","-6.5","T,0227","-8.4","T,0226","-9.0","T,0223","    3240.3","3","    3240.3","T","    675.0"," ,T","      8.80","T","     14.80","T","      2.80","T"
"USS0011R05S","2014","34.75","-111.41","2325.6","HAPPY JACK, AZ US","     34.7","","      34.7","T","        63","T","        63","T","         6","T","       91","","         0","T","       113","T","         2","T","       102","T","         0","T","  -10.5","T,1226, ","   457"," ,T,1231, ","  61.0"," ,T,0301, ","   28.4","T,0726,+","-2.3","T,1102","-2.3","T,1102","-6.3","T,1124","-10.4","T,1225","-10.4","T,1225","-0.3","T,0512","-4.2","T,0427","-5.7","T,0403","-9.2","T,0202","-9.2","T,0202","    3341.3","3","    3341.3","T","    570.7"," ,T","      9.76","T","     15.62","T","      3.90","T"
"USS0011R05S","2015","34.75","-111.41","2325.6","HAPPY JACK, AZ US","","","","","        85","T","        85","T","         8","T","      128","","         0","T","       101","T","","","","","","","  -13.0","T,1216,+","   381"," ,T,0101, ","  55.9"," ,T,0605, ","","","-2.2","T,1104","-2.2","T,1104","-4.8","T,1105","-6.8","T,1111","-8.9","T,1130","-0.2","T,0510","-5.1","T,0417","-5.1","T,0417","-6.7","T,0304","-13.0","T,0103","","","","","    824.4"," ,T","","","","","      4.14","T"
"USS0011R05S","2016","34.75","-111.41","2325.6","HAPPY JACK, AZ US","","","","","        85","T","        85","T","         7","T","      108","","","","","","","","","","","","","","   813"," ,T,0107, ","  83.8"," ,T,1216, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    674.5"," ,T","","","","","",""
"USS0011R05S","2017","34.75","-111.41","2325.6","HAPPY JACK, AZ US","","","","","        56","T","        56","T","         7","T","       88","","","","","","","","","","","","","","   991"," ,T,0124, ","  45.7"," ,T,0228, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    583.5"," ,T","","","","","",""
"USS0011R05S","2018","34.75","-111.41","2325.6","HAPPY JACK, AZ US","","","","","        81","T","        81","T","         3","T","      106","","         1","T","       108","T","","","","","","","  -20.2","T,0224, ","   330"," ,T,1231, ","  43.2"," ,T,1002, ","","","-0.5","T,1015","-2.9","T,1109","-4.8","T,1112","-10.4","T,1202","-10.4","T,1202","-2.3","T,0503","-2.3","T,0503","-6.3","T,0501","-9.7","T,0420","-9.7","T,0420","","","","","    582.7"," ,T","","","","","      3.82","T"
