"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0019K07S","1981","39.32","-119.89","2682.5","MOUNT ROSE SKI AREA, NV US","","","","","        99","T","        99","T","        21","T","","","","","","","","","","","","","","","",""," 142.2"," ,T,1219, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1754.3"," ,T","","","","","",""
"USS0019K07S","1982","39.32","-119.89","2682.5","MOUNT ROSE SKI AREA, NV US","","","","","       123","T","       123","T","        27","T","","","","","","","","","","","","","","","",""," 124.5"," ,T,1220,+","","","","","","","","","","","","","","","","","","","","","","","","","","","   2292.4"," ,T","","","","","",""
"USS0019K07S","1983","39.32","-119.89","2682.5","MOUNT ROSE SKI AREA, NV US","","","","","       155","T","       155","T","        35","T","","","","","","","","","","","","","","","",""," 121.9"," ,T,0331, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   2403.4"," ,T","","","","","",""
"USS0019K07S","1984","39.32","-119.89","2682.5","MOUNT ROSE SKI AREA, NV US","","","","","       112","T","       112","T","         9","T","","","","","","","        43","T","        38","T","         0","T","","","","","  94.0"," ,T,1127, ","   28.1","T,0705, ","","","","","","","","","","","","","","","","","","","","","","","","","   1098.2"," ,T","","","      9.73","T","",""
"USS0019K07S","1985","39.32","-119.89","2682.5","MOUNT ROSE SKI AREA, NV US","","","","","       103","T","       103","T","        11","T","","","","","","","        53","T","        45","T","         0","T","","","","","  81.3"," ,T,0207, ","   27.9","T,0618, ","","","","","","","","","","","","","","","","","","","","","","","","","   1126.8"," ,T","","","     10.14","T","",""
"USS0019K07S","1986","39.32","-119.89","2682.5","MOUNT ROSE SKI AREA, NV US","","","","","        98","T","        98","T","        16","T","","","","","","","        34","T","        44","T","         0","T","","","",""," 177.8"," ,T,0217, ","   25.3","T,0809, ","","","","","","","","","","","","","","","","","","","","","","","","","   1639.7"," ,T","","","     10.38","T","",""
"USS0019K07S","1987","39.32","-119.89","2682.5","MOUNT ROSE SKI AREA, NV US","","","","","       107","T","       107","T","         9","T","","","","","","","","","","","","","","","","","  76.2"," ,T,0212, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    912.4"," ,T","","","","","",""
"USS0019K07S","1988","39.32","-119.89","2682.5","MOUNT ROSE SKI AREA, NV US","","","","","        86","T","        86","T","        10","T","","","","","","","        55","T","        64","T","         0","T","","","","","  76.2"," ,T,1123, ","   29.3","T,0718, ","","","","","","","","","","","","","","","","","","","","","","","","","    961.3"," ,T","","","     11.14","T","",""
"USS0019K07S","1989","39.32","-119.89","2682.5","MOUNT ROSE SKI AREA, NV US","","","","","       113","T","       113","T","        11","T","","","         5","T","       193","T","        37","T","        27","T","         0","T","  -26.5","T,0206, ","",""," 106.7"," ,T,1125, ","   25.9","T,0719, ","-2.0","T,0823","-3.6","T,0824","-4.5","T,1002","-7.3","T,1003","-11.7","T,1025","-0.2","T,0621","-6.3","T,0530","-6.3","T,0530","-7.4","T,0524","-9.4","T,0427","","","","","   1149.4"," ,T","      4.26","T","     10.47","T","     -1.95","T"
"USS0019K07S","1990","39.32","-119.89","2682.5","MOUNT ROSE SKI AREA, NV US","      8.0","","       8.0","T","        95","T","        95","T","         6","T","","","        11","T","       194","T","        44","T","        42","T","         0","T","  -26.2","T,1221, ","","","  99.1"," ,T,0216, ","   29.2","T,0805, ","-1.6","T,0819","-5.3","T,1007","-5.3","T,1007","-7.8","T,1019","-13.8","T,1102","-0.9","T,0616","-3.7","T,0614","-9.8","T,0601","-9.8","T,0601","-9.8","T,0601","    4568.8","8","    4568.8","T","    752.6"," ,T","      4.06","T","     10.29","T","     -2.16","T"
