"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0020A41S","2000","48.57","-120.78","1197.9","SWAMP CREEK, WA US","      0.8","","       0.8","T","        81","T","        81","T","         3","T","","","         2","T","       187","T","        24","T","        36","T","         0","T","  -18.1","T,1211, ","",""," 101.6"," ,T,0204, ","   29.0","T,0721, ","0.0","T,0828","-3.0","T,1015","-6.6","T,1110","-9.9","T,1111","-9.9","T,1111","-1.3","T,0525","-3.4","T,0507","-7.3","T,0407","-7.3","T,0407","-10.4","T,0307","","","","","    705.2"," ,T","      4.97","T","     10.08","T","     -0.15","T"
"USS0020A41S","2001","48.57","-120.78","1197.9","SWAMP CREEK, WA US","      6.1","","       6.1","T","        84","T","        84","T","         4","T","","","         0","T","       178","T","        24","T","        51","T","         0","T","  -17.4","T,0207, ","","","  48.3"," ,T,1216,+","   30.8","T,0812, ","-1.3","T,1004","-4.4","T,1028","-4.4","T,1028","-8.1","T,1212","","","-1.2","T,0530","-2.2","T,0510","-7.6","T,0414","-7.6","T,0414","-10.1","T,0226","    4859.9","9","    4859.9","T","    692.4"," ,T","      5.35","T","     10.44","T","      0.26","T"
"USS0020A41S","2002","48.57","-120.78","1197.9","SWAMP CREEK, WA US","      8.0","","       8.0","T","        86","T","        86","T","         9","T","","","         0","T","       181","T","        27","T","        51","T","         0","T","  -16.5","T,0225, ","","","  68.6"," ,T,0221, ","   30.1","T,0712,+","0.0","T,0920","-2.3","T,1011","-7.8","T,1029","-7.8","T,1029","-9.2","T,1030","-1.1","T,0607","-3.0","T,0515","-6.7","T,0424","-6.7","T,0424","-10.9","T,0320","    4845.6","6","    4845.6","T","    852.3"," ,T","      5.37","T","     10.67","T","      0.06","T"
"USS0020A41S","2003","48.57","-120.78","1197.9","SWAMP CREEK, WA US","     14.5","","      14.5","T","","","","","","","      167","","         0","T","       160","T","        19","T","        77","T","         0","T","  -16.5","T,1230, ","  1499"," ,T,0311,+","","","   31.7","T,0729, ","-0.5","T,1010","-4.3","T,1030","-9.4","T,1031","-9.4","T,1031","-9.4","T,1031","-2.8","T,0519","-2.8","T,0519","-5.8","T,0404","-8.9","T,0324","-8.9","T,0324","    4450.8","8","    4450.8","T","","","      6.11","T","     11.63","T","      0.60","T"
"USS0020A41S","2004","48.57","-120.78","1197.9","SWAMP CREEK, WA US","     23.5","","      23.5","T","       136","T","       136","T","         2","T","      164","","         3","T","       161","T","        12","T","        61","T","         1","T","  -27.6","T,0104, ","  1422"," ,T,0305, ","  68.6"," ,T,1210, ","   32.4","T,0814, ","0.0","T,1001","-3.4","T,1024","-4.5","T,1103","-7.6","T,1128","-8.9","T,1212","-0.1","T,0601","-4.9","T,0402","-4.9","T,0402","-7.4","T,0320","-9.0","T,0205","    4375.5","5","    4375.5","T","   1018.4"," ,T","      6.57","T","     11.94","T","      1.19","T"
"USS0020A41S","2005","48.57","-120.78","1197.9","SWAMP CREEK, WA US","      0.0","","       0.0","T","       109","T","       109","T","         2","T","      140","","         0","T","       152","T","        28","T","        53","T","         0","T","  -15.4","T,0114, ","   508"," ,T,0113, ","  45.7"," ,T,0118, ","   29.9","T,0721, ","-1.0","T,0921","-2.2","T,0923","-5.3","T,1108","-6.8","T,1114","-9.7","T,1127","-0.1","T,0606","-2.5","T,0414","-6.1","T,0413","-7.0","T,0322","-10.1","T,0221","    4338.4","4","    4338.4","T","    717.5"," ,T","      6.06","T","     11.46","T","      0.66","T"
"USS0020A41S","2006","48.57","-120.78","1197.9","SWAMP CREEK, WA US","     26.2","","      26.2","T","       126","T","       126","T","         7","T","      183","","         3","T","       186","T","        25","T","        72","T","         1","T","  -23.9","T,1129, ","  1727"," ,T,0223, "," 101.6"," ,T,1106, ","   33.8","T,0721, ","-0.3","T,0917","-4.8","T,1029","-4.8","T,1029","-9.3","T,1030","-9.3","T,1030","-0.6","T,0530","-3.2","T,0513","-4.5","T,0509","-9.5","T,0319","-9.5","T,0319","    4599.8","8","    4599.8","T","   1149.0"," ,T","      5.80","T","     11.35","T","      0.24","T"
"USS0020A41S","2007","48.57","-120.78","1197.9","SWAMP CREEK, WA US","      9.2","","       9.2","T","       133","T","       133","T","        10","T","","","         2","T","       179","T","        35","T","        51","T","         0","T","  -21.1","T,0112, ","","","  81.3"," ,T,1203, ","   31.7","T,0712, ","-1.2","T,1005","-2.7","T,1025","-5.6","T,1102","-7.1","T,1119","-9.6","T,1121","0.0","T,0529","-2.9","T,0421","-6.2","T,0411","-10.0","T,0403","-10.0","T,0403","    4595.5","5","    4595.5","T","   1080.8"," ,T","      5.40","T","     10.82","T","     -0.02","T"
"USS0020A41S","2008","48.57","-120.78","1197.9","SWAMP CREEK, WA US","     25.3","","      25.3","T","       126","T","       126","T","         3","T","","","         5","T","       187","T","        40","T","        55","T","         3","T","  -26.3","T,1220, ","","","  81.3"," ,T,1112, ","   33.5","T,0816, ","-1.0","T,0923","-2.3","T,1010","-4.4","T,1011","-10.7","T,1213","-10.7","T,1213","-0.7","T,0614","-3.6","T,0501","-6.4","T,0426","-9.9","T,0422","-9.9","T,0422","    4928.4","4","    4928.4","T","    976.8"," ,T","      4.95","T","     10.45","T","     -0.54","T"
"USS0020A41S","2009","48.57","-120.78","1197.9","SWAMP CREEK, WA US","     24.5","","      24.5","T","       122","T","       122","T","         6","T","      191","","         5","T","       188","T","        33","T","        64","T","         0","T","  -20.9","T,0310, ","  1372"," ,T,0315, ","  83.8"," ,T,0107, ","   31.8","T,0820, ","-0.4","T,1004","-2.4","T,1009","-6.8","T,1011","-6.8","T,1011","-8.9","T,1201","-0.3","T,0522","-2.5","T,0430","-5.9","T,0424","-7.9","T,0404","-8.9","T,0330","    4802.7","7","    4802.7","T","   1037.6"," ,T","      5.40","T","     10.86","T","     -0.06","T"
