"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0020B02S","1982","47.35","-120.68","1292.4","BLEWETT PASS, WA US","","","","","       110","T","       110","T","         8","T","","","","","","","","","","","","","","","","","  76.2"," ,T,0122, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    918.2"," ,T","","","","","",""
"USS0020B02S","1983","47.35","-120.68","1292.4","BLEWETT PASS, WA US","","","","","       108","T","       108","T","         8","T","","","","","","","","","","","","","","","","","  53.3"," ,T,0104, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    994.8"," ,T","","","","","",""
"USS0020B02S","1984","47.35","-120.68","1292.4","BLEWETT PASS, WA US","","","","","       111","T","       111","T","         8","T","","","","","","","","","","","","","","","","","  48.3"," ,T,0922, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1043.3"," ,T","","","","","",""
"USS0020B02S","1985","47.35","-120.68","1292.4","BLEWETT PASS, WA US","","","","","        89","T","        89","T","         6","T","","","","","","","","","","","","","","","","","  45.7"," ,T,1110,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    745.8"," ,T","","","","","",""
"USS0020B02S","1986","47.35","-120.68","1292.4","BLEWETT PASS, WA US","","","","","        93","T","        93","T","         4","T","","","","","","","","","","","","","","","","","  61.0"," ,T,0223, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    845.2"," ,T","","","","","",""
"USS0020B02S","1987","47.35","-120.68","1292.4","BLEWETT PASS, WA US","","","","","        78","T","        78","T","         3","T","","","","","","","","","","","","","","","","","  81.3"," ,T,1209, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    728.7"," ,T","","","","","",""
"USS0020B02S","1988","47.35","-120.68","1292.4","BLEWETT PASS, WA US","","","","","       108","T","       108","T","         1","T","","","","","","","","","","","","","","","","","  25.4"," ,T,1229, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    804.4"," ,T","","","","","",""
"USS0020B02S","1989","47.35","-120.68","1292.4","BLEWETT PASS, WA US","","","","","        86","T","        86","T","         2","T","","","","","","","","","","","","","","","","","  38.1"," ,T,0108, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    674.9"," ,T","","","","","",""
"USS0020B02S","1990","47.35","-120.68","1292.4","BLEWETT PASS, WA US","     88.9","","      88.9","T","       127","T","       127","T","        14","T","","","         9","T","       162","T","        44","T","        75","T","         2","T","  -24.7","T,1229, ","","","  66.0"," ,T,1124, ","   32.7","T,0711, ","-0.2","T,1003","-3.0","T,1005","-4.9","T,1102","-7.0","T,1130","-8.9","T,1215","0.0","T,0605","-2.3","T,0514","-4.4","T,0428","-7.0","T,0313","-12.9","T,0219","","","","","   1352.1"," ,T","      6.00","T","     11.16","T","      0.83","T"
"USS0020B02S","1991","47.35","-120.68","1292.4","BLEWETT PASS, WA US","","","","","       129","T","       129","T","         3","T","","","","","","","        44","T","        73","T","         0","T","","","","","  35.6"," ,T,0219, ","   30.7","T,0818, ","","","","","","","","","","","","","","","","","","","","","    4371.4","4","    4371.4"," ","    841.1"," ,T","","","     11.06","T","",""
