"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0020L10S","1980","38.93","-120.05","1900.7","FALLEN LEAF, CA US","","","","","        80","T","        80","T","         9","T","","","","","","","","","","","","","","","",""," 101.6"," ,T,0111, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    961.6"," ,T","","","","","",""
"USS0020L10S","1981","38.93","-120.05","1900.7","FALLEN LEAF, CA US","","","","","        76","T","        76","T","        15","T","","","","","","","","","","","","","","","",""," 101.6"," ,T,1219, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1084.3"," ,T","","","","","",""
"USS0020L10S","1982","38.93","-120.05","1900.7","FALLEN LEAF, CA US","","","","","        77","T","        77","T","        20","T","","","","","","","","","","","","","","","","","  86.4"," ,T,0215, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1326.4"," ,T","","","","","",""
"USS0020L10S","1983","38.93","-120.05","1900.7","FALLEN LEAF, CA US","","","","","        87","T","        87","T","        13","T","","","","","","","","","","","","","","","","","  73.7"," ,T,0312, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1098.0"," ,T","","","","","",""
"USS0020L10S","1984","38.93","-120.05","1900.7","FALLEN LEAF, CA US","","","","","        49","T","        49","T","         5","T","","","","","","","","","","","","","","","","","  25.4"," ,T,1127,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    467.8"," ,T","","","","","",""
"USS0020L10S","1985","38.93","-120.05","1900.7","FALLEN LEAF, CA US","","","","","        49","T","        49","T","         6","T","","","","","","","","","","","","","","","","","  50.8"," ,T,0326, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    586.4"," ,T","","","","","",""
"USS0020L10S","1986","38.93","-120.05","1900.7","FALLEN LEAF, CA US","","","","","        68","T","        68","T","         8","T","","","","","","","","","","","","","","","","","  71.1"," ,T,0215, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    782.2"," ,T","","","","","",""
"USS0020L10S","1987","38.93","-120.05","1900.7","FALLEN LEAF, CA US","","","","","        55","T","        55","T","         4","T","","","","","","","","","","","","","","","","","  76.2"," ,T,0212, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    559.6"," ,T","","","","","",""
"USS0020L10S","1988","38.93","-120.05","1900.7","FALLEN LEAF, CA US","","","","","        36","T","        36","T","         6","T","","","","","","","","","","","","","","","","","  45.7"," ,T,1124, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    487.6"," ,T","","","","","",""
"USS0020L10S","1989","38.93","-120.05","1900.7","FALLEN LEAF, CA US","","","","","        80","T","        80","T","         7","T","","","","","","","","","","","","","","","","","  53.3"," ,T,1023, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    740.4"," ,T","","","","","",""
"USS0020L10S","1990","38.93","-120.05","1900.7","FALLEN LEAF, CA US","","","","","        64","T","        64","T","         2","T","","","","","","","","","","","","","","","","","  40.6"," ,T,0216, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    443.4"," ,T","","","","","",""
"USS0020L10S","1991","38.93","-120.05","1900.7","FALLEN LEAF, CA US","","","","","        67","T","        67","T","         8","T","","","","","","","         2","T","       113","T","         0","T","","","","","  73.7"," ,T,0304, ","   32.0","T,0704, ","","","","","","","","","","","","","","","","","","","","","","","","","    715.4"," ,T","","","     14.54","T","",""
"USS0020L10S","1992","38.93","-120.05","1900.7","FALLEN LEAF, CA US","","","","","        70","T","        70","T","         8","T","","","","","","","","","","","","","","","","","  63.5"," ,T,1229, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    674.5"," ,T","","","","","",""
"USS0020L10S","1993","38.93","-120.05","1900.7","FALLEN LEAF, CA US","","","","","        82","T","        82","T","         6","T","","","","","","","        11","T","        86","T","         0","T","","","","","  53.3"," ,T,0106,+","   30.4","T,0802, ","","","","","","","","","","","","","","","","","","","","","","","","","    783.9"," ,T","","","     13.84","T","",""
"USS0020L10S","1994","38.93","-120.05","1900.7","FALLEN LEAF, CA US","      4.0","","       4.0","T","        80","T","        80","T","         5","T","","","         4","T","       241","T","         4","T","       112","T","         0","T","  -19.9","T,0212, ","","","  68.6"," ,T,1105, ","   31.5","T,0728, ","-0.3","T,0820","-2.3","T,0903","-5.2","T,1013","-7.1","T,1016","-10.3","T,1103","-0.6","T,0619","-3.8","T,0618","-4.9","T,0607","-7.2","T,0411","-13.9","T,0323","","","","","    689.8"," ,T","      5.73","T","     14.87","T","     -3.42","T"
