"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0021A31S","1996","48.87","-121.79","1228.3","WELLS CREEK, WA US","","","     87.1","","      87.1","T","       224","T","       224","T","        23","T","","","         0","T","       182","T","        43","T","        39","T","         1","T","  -17.3","T,0129, ","","","  81.3"," ,T,1219, ","   33.8","T,0825, ","-0.3","T,0921","-2.5","T,1015","-4.4","T,1019","-7.4","T,1117","-10.7","T,1119","-0.4","T,0618","-4.7","T,0509","-4.7","T,0509","-11.7","T,0324","-11.7","T,0324","","","","","   2367.8"," ,T","      5.03","T","      9.59","T","      0.47","T"
"USS0021A31S","1997","48.87","-121.79","1228.3","WELLS CREEK, WA US","       0.7","T","     29.7","","      29.7","T","       213","T","       213","T","        17","T","","","         0","T","       164","T","        19","T","        48","T","         0","T","  -13.7","T,0126, ","","","  53.3"," ,T,0318, ","   28.6","T,0909,+","-0.5","T,1005","-3.1","T,1011","-4.9","T,1208","-8.5","T,1221","","","-0.3","T,0520","-3.6","T,0502","-5.3","T,0405","-6.7","T,0404","-9.3","T,0314","    4745.2","2","    4745.2","T","   2327.8"," ,T","      5.96","T","     10.65","T","      1.26","T"
"USS0021A31S","1998","48.87","-121.79","1228.3","WELLS CREEK, WA US","","","     64.8","","      64.8","T","       184","T","       184","T","        20","T","","","         2","T","       177","T","        32","T","        68","T","         2","T","  -20.4","T,1220, ","","","  53.3"," ,T,1227, ","   33.3","T,0726, ","-0.2","T,1010","-2.6","T,1028","-4.9","T,1128","-6.7","T,1203","-12.3","T,1218","-0.3","T,0528","-3.1","T,0425","-5.2","T,0413","-7.7","T,0328","-10.7","T,0112","    4442.1","1","    4442.1","T","   1977.2"," ,T","      6.24","T","     10.88","T","      1.60","T"
"USS0021A31S","1999","48.87","-121.79","1228.3","WELLS CREEK, WA US","","","     16.9","","      16.9","T","       210","T","       210","T","        26","T","","","         0","T","       197","T","        27","T","        46","T","         0","T","  -11.3","T,0209, ","","","  61.0"," ,T,0401,+","   29.1","T,0827, ","-0.2","T,0926","-2.3","T,1015","-4.9","T,1101","-6.8","T,1207","","","-0.4","T,0609","-3.6","T,0514","-5.5","T,0510","-8.3","T,0409","-9.1","T,0328","    4757.9","9","    4757.9","T","   2456.8"," ,T","      5.17","T","      9.96","T","      0.37","T"
"USS0021A31S","2000","48.87","-121.79","1228.3","WELLS CREEK, WA US","","","     12.9","","      12.9","T","       180","T","       180","T","         7","T","","","         0","T","       188","T","        28","T","        38","T","         0","T","  -12.8","T,1210, ","","","  43.2"," ,T,1216,+","   30.0","T,0914, ","-0.5","T,1002","-2.5","T,1021","-4.5","T,1109","-8.5","T,1110","-12.8","T,1210","-0.4","T,0611","-3.5","T,0507","-6.2","T,0424","-6.9","T,0320","-9.0","T,0102","    4614.0","0","    4614.0","T","   1504.4"," ,T","      5.18","T","      9.97","T","      0.38","T"
"USS0021A31S","2001","48.87","-121.79","1228.3","WELLS CREEK, WA US","","","     23.8","","      23.8","T","       191","T","       191","T","        16","T","","","         0","T","       200","T","        30","T","        45","T","         0","T","  -11.8","T,0207, ","","","  50.8"," ,T,1119, ","   29.3","T,0809, ","-0.2","T,0927","-2.4","T,1024","-4.7","T,1027","-6.7","T,1202","","","-0.7","T,0612","-2.2","T,0509","-7.2","T,0414","-7.2","T,0414","-9.6","T,0215","    4807.0","0","    4807.0","T","   1784.0"," ,T","      5.30","T","      9.95","T","      0.64","T"
"USS0021A31S","2002","48.87","-121.79","1228.3","WELLS CREEK, WA US","","","","","","","       166","T","       166","T","        18","T","","","","","","","","","","","","","","","","","  78.7"," ,T,0107, ","","","","","","","","","","","","","","","","","","","","","","","    4842.8","8","    4842.8","T","   1812.5"," ,T","","","","","",""
"USS0021A31S","2003","48.87","-121.79","1228.3","WELLS CREEK, WA US","       0.6","T","     54.5","","      54.5","T","       178","T","       178","T","        22","T","      208","","         0","T","       132","T","        11","T","        72","T","         0","T","  -10.3","T,1121, ","  1956"," ,T,1228,+"," 104.1"," ,T,1020, ","   31.6","T,0729, ","-1.2","T,1029","-4.5","T,1030","-4.5","T,1030","-7.0","T,1031","-10.3","T,1121","-0.2","T,0519","-3.0","T,0506","-6.2","T,0324","-7.7","T,0308","-9.0","T,0307","","","","","   2139.7"," ,T","      7.13","T","     11.66","T","      2.60","T"
"USS0021A31S","2004","48.87","-121.79","1228.3","WELLS CREEK, WA US","       0.5","T","     66.0","","      66.0","T","       201","T","       201","T","        17","T","      216","","         0","T","       114","T","         6","T","        60","T","         0","T","  -17.3","T,0104, ","  2413"," ,T,0306, "," 111.8"," ,T,1124, ","   32.1","T,0724, ","0.0","T,1022","-2.7","T,1031","-4.8","T,1127","","","","","-0.5","T,0421","-4.6","T,0401","-4.6","T,0401","-7.3","T,0106","-14.0","T,0105","    4035.0","0","    4035.0","T","   1920.4"," ,T","      7.43","T","     11.78","T","      3.08","T"
"USS0021A31S","2005","48.87","-121.79","1228.3","WELLS CREEK, WA US","       0.5","T","     17.2","","      17.2","T","       174","T","       174","T","        17","T","      193","","         0","T","       106","T","        20","T","        43","T","         0","T","  -10.9","T,0114, ","  1499"," ,T,0403, ","  86.4"," ,T,0929, ","   28.9","T,0528, ","-0.5","T,1026","-2.4","T,1106","-4.6","T,1114","-7.4","T,1127","","","-2.0","T,0418","-4.2","T,0413","-4.6","T,0402","-7.7","T,0215","-10.9","T,0114","    4105.6","6","    4105.6","T","   1922.1"," ,T","      6.93","T","     11.17","T","      2.68","T"
"USS0021A31S","2006","48.87","-121.79","1228.3","WELLS CREEK, WA US","       0.4","T","     56.2","","      56.2","T","       200","T","       200","T","        33","T","      220","","         0","T","       149","T","        17","T","        59","T","         2","T","  -13.3","T,1128, ","  2896"," ,T,0317,+"," 104.1"," ,T,1106, ","   33.3","T,0721, ","-0.7","T,1025","-6.6","T,1029","-6.6","T,1029","-8.1","T,1030","-12.1","T,1127","-1.1","T,0513","-2.6","T,0509","-5.9","T,0319","-6.7","T,0313","-9.3","T,0225","    4328.8","8","    4328.8","T","   2429.0"," ,T","      6.61","T","     11.05","T","      2.16","T"
"USS0021A31S","2007","48.87","-121.79","1228.3","WELLS CREEK, WA US","","","","","","","       188","T","       188","T","        16","T","","","","","","","","","","","","","","","","","  78.7"," ,T,1203, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1974.8"," ,T","","","","","",""
"USS0021A31S","2008","48.87","-121.79","1228.3","WELLS CREEK, WA US","       0.2","T","     42.0","","      42.0","T","       192","T","       192","T","        20","T","      219","","         0","T","       161","T","        35","T","        28","T","         0","T","  -16.6","T,1219, ","  3277"," ,T,0329, ","  76.2"," ,T,0403, ","   30.0","T,0817, ","-0.5","T,1008","-3.2","T,1105","-5.9","T,1213","-14.5","T,1214","-14.5","T,1214","-1.1","T,0610","-2.7","T,0430","-5.0","T,0425","-7.1","T,0421","-9.5","T,0128","    4973.7","7","    4973.7","T","   2001.9"," ,T","      5.07","T","      8.74","T","      1.41","T"
"USS0021A31S","2009","48.87","-121.79","1228.3","WELLS CREEK, WA US","       0.2","T","     51.2","","      51.2","T","       163","T","       163","T","        23","T","      218","","         0","T","       152","T","        31","T","        38","T","         0","T","  -16.4","T,0310, ","  2311"," ,T,0402, ","  76.2"," ,T,0107, ","   30.3","T,0729, ","-0.8","T,1003","-2.3","T,1027","-5.4","T,1113","-7.0","T,1205","-11.7","T,1206","-1.0","T,0513","-2.3","T,0424","-4.7","T,0414","-11.4","T,0311","-11.4","T,0311","    4612.4","4","    4612.4","T","   2063.8"," ,T","      5.77","T","      9.54","T","      2.00","T"
"USS0021A31S","2010","48.87","-121.79","1228.3","WELLS CREEK, WA US","       0.2","T","     17.6","","      17.6","T","       205","T","       205","T","        21","T","      223","","         1","T","       126","T","        20","T","        25","T","         0","T","  -19.3","T,1123, ","  2515"," ,T,0409, ","  91.4"," ,T,1212, ","   26.9","T,0708, ","-0.4","T,1015","-2.6","T,1117","-9.0","T,1121","-9.0","T,1121","-9.0","T,1121","-1.9","T,0521","-3.8","T,0505","-7.1","T,0410","-7.1","T,0410","","","    4587.3","3","    4587.3","T","   2086.3"," ,T","      5.65","T","      9.06","T","      2.24","T"
"USS0021A31S","2011","48.87","-121.79","1228.3","WELLS CREEK, WA US","       0.2","T","     12.6","","      12.6","T","       192","T","       192","T","        25","T","      251","","         0","T","       175","T","        27","T","        15","T","         0","T","  -15.6","T,0225, ","  3277"," ,T,0406, ","  73.7"," ,T,0116, ","   27.0","T,0911,+","0.0","T,1023","-3.0","T,1027","-4.9","T,1105","-8.3","T,1118","-9.2","T,1120","-0.6","T,0518","-2.2","T,0501","-5.3","T,0420","-6.8","T,0415","-13.1","T,0226","    4998.1","1","    4998.1","T","   2310.6"," ,T","      4.46","T","      7.94","T","      0.97","T"
"USS0021A31S","2012","48.87","-121.79","1228.3","WELLS CREEK, WA US","       0.2","T","     29.1","","      29.1","T","       198","T","       198","T","        38","T","      247","","         0","T","       157","T","        33","T","        36","T","         0","T","  -13.4","T,0118, ","  3734"," ,T,0320, ","  53.3"," ,T,1119, ","   29.0","T,0818, ","-2.0","T,1020","-2.9","T,1022","-5.1","T,1109","-7.7","T,1218","","","-1.9","T,0511","-4.0","T,0407","-4.7","T,0406","-6.9","T,0321","-9.4","T,0307","    4927.7","7","    4927.7","T","   2698.5"," ,T","      5.51","T","      9.15","T","      1.88","T"
"USS0021A31S","2014","48.87","-121.79","1228.3","WELLS CREEK, WA US","","","","","","","       165","T","       165","T","        37","T","      208","","","","","","","","","","","","","","  2388"," ,T,0322,+","  99.1"," ,T,1210, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   2673.7"," ,T","","","","","",""
"USS0021A31S","2015","48.87","-121.79","1228.3","WELLS CREEK, WA US","","","     48.0","","      48.0","T","       155","T","       155","T","        30","T","      188","","         0","T","       100","T","        13","T","        39","T","         0","T","   -9.6","T,1230, ","  1600"," ,T,1223, "," 104.1"," ,T,1117, ","   29.1","T,0628,+","-1.3","T,1103","-2.2","T,1110","-5.0","T,1116","-8.3","T,1225","-9.6","T,1230","-0.3","T,0506","-3.3","T,0415","-5.1","T,0303","","","","","    3904.0","0","    3904.0","T","   2157.7"," ,T","      7.33","T","     10.81","T","      3.86","T"
"USS0021A31S","2016","48.87","-121.79","1228.3","WELLS CREEK, WA US","","","     15.8","","      15.8","T","       191","T","       191","T","        23","T","      188","","         0","T","       107","T","        22","T","        32","T","         0","T","  -12.5","T,1217,+","  2362"," ,T,0314, ","  66.0"," ,T,1124, ","   28.3","T,0605, ","-0.8","T,1010","-2.2","T,1129","-6.7","T,1204","-6.7","T,1204","-11.3","T,1206","0.0","T,0426","-2.6","T,0328","-5.1","T,0317","","","","","    4255.5","5","    4255.5","T","   2368.5"," ,T","      6.17","T","      9.35","T","      2.99","T"
"USS0021A31S","2017","48.87","-121.79","1228.3","WELLS CREEK, WA US","","","     66.6","","      66.6","T","       173","T","       173","T","        26","T","      224","","         0","T","       146","T","        35","T","        47","T","         0","T","  -14.9","T,0103, ","  2286"," ,T,0309,+","  63.5"," ,T,1018, ","   29.3","T,0904, ","-0.8","T,1010","-2.7","T,1102","-5.0","T,1104","-10.2","T,1222","-10.2","T,1222","-0.4","T,0514","-2.7","T,0411","-4.4","T,0320","-8.1","T,0307","-9.8","T,0201","    4869.1","1","    4869.1","T","   2203.5"," ,T","      5.89","T","      9.42","T","      2.35","T"
"USS0021A31S","2018","48.87","-121.79","1228.3","WELLS CREEK, WA US","","","     47.0","","      47.0","T","       182","T","       182","T","        22","T","      216","","         0","T","       119","T","        24","T","        42","T","         0","T","  -14.6","T,0219, ","  2946"," ,T,0403,+","  58.4"," ,T,0204, ","   29.6","T,0730, ","-1.3","T,1003","-2.3","T,1107","-5.1","T,1203","-6.9","T,1231","","","-1.9","T,0422","-2.6","T,0404","-5.0","T,0402","-6.8","T,0225","-10.6","T,0223","    4431.2","2","    4431.2","T","   2249.7"," ,T","      6.21","T","      9.52","T","      2.91","T"
"USS0021A31S","2019","48.87","-121.79","1228.3","WELLS CREEK, WA US","","","      8.6","","       8.6","T","       161","T","       161","T","        11","T","      180","","         0","T","       106","T","        26","T","        18","T","         0","T","  -11.4","T,0206, ","  1727"," ,T,0312, ","  58.4"," ,T,1220, ","   26.0","T,0612, ","0.0","T,1001","-3.1","T,1008","-5.1","T,1009","-7.1","T,1127","","","0.0","T,0429","-3.1","T,0415","-4.9","T,0313","-7.0","T,0309","-9.1","T,0304","    4405.5","5","    4405.5","T","   1594.0"," ,T","      5.71","T","      9.00","T","      2.43","T"
"USS0021A31S","2020","48.87","-121.79","1228.3","WELLS CREEK, WA US","","","     26.3","","      26.3","T","       198","T","       198","T","        23","T","      227","","         0","T","       136","T","        20","T","        24","T","         0","T","  -10.8","T,0314, ","  2692"," ,T,0331, ","  50.8"," ,T,0923, ","   29.6","T,0816, ","-1.2","T,1021","-6.9","T,1024","-6.9","T,1024","-6.9","T,1024","","","-1.5","T,0504","-2.2","T,0406","-5.1","T,0404","-10.5","T,0315","-10.5","T,0315","    4782.0","0","    4782.0","T","   2315.6"," ,T","      5.68","T","      8.91","T","      2.44","T"
