"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0021D04S","1979","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       173","T","       173","T","        27","T","","","","","","","","","","","","","","","","","  78.7"," ,T,0206, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   2419.4"," ,T","","","","","",""
"USS0021D04S","1980","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       177","T","       177","T","        36","T","","","","","","","","","","","","","","","",""," 142.2"," ,T,1225, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   2980.5"," ,T","","","","","",""
"USS0021D04S","1981","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       170","T","       170","T","        28","T","","","","","","","","","","","","","","","","","  81.3"," ,T,0608, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   2602.5"," ,T","","","","","",""
"USS0021D04S","1982","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       167","T","       167","T","        46","T","","","","","","","","","","","","","","","",""," 129.5"," ,T,0122, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   3085.1"," ,T","","","","","",""
"USS0021D04S","1983","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       167","T","       167","T","        39","T","","","","","","","","","","","","","","","","","  99.1"," ,T,1229,+","","","","","","","","","","","","","","","","","","","","","","","","","","","   3006.4"," ,T","","","","","",""
"USS0021D04S","1984","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       163","T","       163","T","        58","T","","","","","","","","","","","","","","","",""," 104.1"," ,T,0212, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   3562.4"," ,T","","","","","",""
"USS0021D04S","1985","45.46","-121.7","1344.2","RED HILL, OR US","","","","","        94","T","        94","T","        28","T","","","","","","","","","","","","","","","",""," 144.8"," ,T,0606, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   2062.4"," ,T","","","","","",""
"USS0021D04S","1986","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       139","T","       139","T","        24","T","","","","","","","","","","","","","","","",""," 111.8"," ,T,1126, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   2244.3"," ,T","","","","","",""
"USS0021D04S","1987","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       105","T","       105","T","        33","T","","","","","","","","","","","","","","","",""," 116.8"," ,T,1209, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   2275.7"," ,T","","","","","",""
"USS0021D04S","1988","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       126","T","       126","T","        44","T","","","","","","","","","","","","","","","",""," 139.7"," ,T,1109, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   2902.8"," ,T","","","","","",""
"USS0021D04S","1989","45.46","-121.7","1344.2","RED HILL, OR US","     10.8","","      10.8","T","       124","T","       124","T","        21","T","","","         5","T","       157","T","        33","T","        33","T","         0","T","  -27.3","T,0203, ","",""," 124.5"," ,T,0327, ","   29.1","T,0807, ","-1.7","T,1014","-3.4","T,1028","-4.9","T,1029","-7.0","T,1130","-9.1","T,1211","-0.1","T,0620","-3.5","T,0518","-4.4","T,0403","-6.7","T,0323","-11.4","T,0304","","","","","   2175.5"," ,T","      5.56","T","     10.35","T","      0.78","T"
"USS0021D04S","1990","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       115","T","       115","T","        50","T","","","","","","","","","","","","","","","",""," 129.5"," ,T,0209, ","","","","","","","","","","","","","","","","","","","","","","","    4174.4","4","    4174.4"," ","   3616.1"," ,T","","","","","",""
"USS0021D04S","1991","45.46","-121.7","1344.2","RED HILL, OR US","     49.2","","      49.2","T","       180","T","       180","T","        34","T","","","         0","T","       165","T","        30","T","        64","T","         0","T","  -14.4","T,0105, ","",""," 104.1"," ,T,0114, ","   29.8","T,0818, ","-0.1","T,1016","-2.2","T,1022","-4.8","T,1027","-7.3","T,1028","-9.1","T,1029","0.0","T,0620","-3.9","T,0604","-5.9","T,0411","-6.8","T,0311","-12.3","T,0129","","","","","   2584.3"," ,T","      5.94","T","     10.61","T","      1.28","T"
"USS0021D04S","1992","45.46","-121.7","1344.2","RED HILL, OR US","     88.3","","      88.3","T","       157","T","       157","T","        35","T","","","         0","T","       143","T","        43","T","        68","T","         3","T","  -15.1","T,1205, ","",""," 114.3"," ,T,1121, ","   34.0","T,0813, ","-0.9","T,0913","-3.4","T,1014","-4.7","T,1015","-7.9","T,1124","-8.9","T,1126","-2.3","T,0521","-2.3","T,0521","-4.7","T,0423","-10.2","T,0120","-10.2","T,0120","    3750.6","6","    3750.6","T","   2422.4"," ,T","      6.74","T","     11.46","T","      2.03","T"
"USS0021D04S","1993","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       168","T","       168","T","        24","T","","","","","","","","","","","","","","","","","  68.6"," ,T,1201, ","","","","","","","","","","","","","","","","","","","","","","","    4613.8","8","    4613.8","T","   2158.3"," ,T","","","","","",""
"USS0021D04S","1994","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       149","T","       149","T","        38","T","","","","","","","","","","","","","","","",""," 167.6"," ,T,1031, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   3042.7"," ,T","","","","","",""
"USS0021D04S","1995","45.46","-121.7","1344.2","RED HILL, OR US","     27.0","","      27.0","T","       158","T","       158","T","        53","T","","","         2","T","       163","T","        39","T","        52","T","         0","T","  -18.7","T,0214, ","",""," 121.9"," ,T,1111, ","   28.7","T,0718, ","0.0","T,1005","-2.9","T,1022","-6.3","T,1030","-7.1","T,1031","-14.5","T,1208","-0.3","T,0611","-3.1","T,0421","-5.8","T,0419","-7.1","T,0325","-18.7","T,0214","","","","","   3423.6"," ,T","      5.58","T","     10.00","T","      1.16","T"
"USS0021D04S","1996","45.46","-121.7","1344.2","RED HILL, OR US","     91.6","","      91.6","T","       173","T","       173","T","        57","T","","","         6","T","       192","T","        49","T","        60","T","         4","T","  -23.4","T,0131, ","",""," 119.4"," ,T,1207, ","   33.1","T,0714, ","-0.3","T,0922","-2.4","T,1015","-4.9","T,1016","-6.9","T,1120","-9.9","T,1203","-1.0","T,0619","-3.7","T,0509","-4.6","T,0508","-9.3","T,0328","-9.3","T,0328","    4819.9","9","    4819.9","T","   4144.9"," ,T","      5.36","T","     10.16","T","      0.56","T"
"USS0021D04S","1997","45.46","-121.7","1344.2","RED HILL, OR US","     22.7","","      22.7","T","       160","T","       160","T","        36","T","","","         3","T","       173","T","        42","T","        54","T","         0","T","  -20.4","T,0115, ","",""," 144.8"," ,T,1030, ","   30.9","T,0805, ","-0.8","T,1005","-3.4","T,1024","-5.4","T,1113","-7.6","T,1205","-9.6","T,1222","-0.3","T,0520","-2.5","T,0507","-5.5","T,0502","-8.8","T,0412","-10.2","T,0404","    4747.0","0","    4747.0","T","   2770.1"," ,T","      5.33","T","     10.12","T","      0.53","T"
"USS0021D04S","1998","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       180","T","       180","T","        42","T","","","         6","T","       178","T","        29","T","        69","T","         7","T","  -22.1","T,1222, ","",""," 149.9"," ,T,1227, ","   34.3","T,0901, ","0.0","T,1002","-2.6","T,1016","-4.4","T,1029","-7.1","T,1204","-12.8","T,1218","-0.3","T,0528","-3.2","T,0419","-6.6","T,0408","-8.8","T,0329","-9.3","T,0307","    4686.1","1","    4686.1","T","   3219.9"," ,T","      5.98","T","     10.66","T","      1.29","T"
"USS0021D04S","1999","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       165","T","       165","T","        46","T","","","","","","","        42","T","        58","T","         0","T","","","",""," 170.2"," ,T,1125, ","   29.2","T,0827,+","","","","","","","","","","","","","","","","","","","","","","","","","   3158.6"," ,T","","","     10.24","T","",""
"USS0021D04S","2000","45.46","-121.7","1344.2","RED HILL, OR US","     21.5","","      21.5","T","       161","T","       161","T","        32","T","","","         0","T","       194","T","        45","T","        47","T","         0","T","  -12.7","T,1212,+","",""," 104.1"," ,T,0201, ","   30.8","T,0730, ","-0.4","T,0921","-3.7","T,0922","-4.4","T,1109","-10.4","T,1110","-10.4","T,1110","-0.1","T,0611","-3.6","T,0512","-4.7","T,0429","-8.3","T,0424","-9.7","T,0320","","","","","   2429.9"," ,T","      4.88","T","      9.74","T","      0.02","T"
"USS0021D04S","2001","45.46","-121.7","1344.2","RED HILL, OR US","","","","","       167","T","       167","T","        31","T","","","","","","","","","","","","","","","","","  76.2"," ,T,1213,+","","","","","","","","","","","","","","","","","","","","","","","    4927.6","6","    4927.6","T","   2567.1"," ,T","","","","","",""
"USS0021D04S","2002","45.46","-121.7","1344.2","RED HILL, OR US","     51.3","","      51.3","T","       155","T","       155","T","        33","T","","","         0","T","       192","T","        49","T","        57","T","         1","T","  -14.3","T,0128, ","",""," 109.2"," ,T,0120, ","   34.4","T,0712, ","-0.9","T,0930","-2.3","T,1001","-9.9","T,1029","-9.9","T,1029","-9.9","T,1029","-0.6","T,0609","-2.9","T,0510","-5.6","T,0508","-8.1","T,0318","-9.0","T,0317","","","","","   2447.3"," ,T","      5.64","T","     10.77","T","      0.51","T"
