"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0021F12S","1981","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","       112","T","       112","T","         2","T","","","","","","","","","","","","","","","","","  48.3"," ,T,1115, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    862.6"," ,T","","","","","",""
"USS0021F12S","1982","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","       112","T","       112","T","         3","T","","","","","","","","","","","","","","","","","  38.1"," ,T,0918, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    923.9"," ,T","","","","","",""
"USS0021F12S","1983","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","       130","T","       130","T","         4","T","","","","","","","","","","","","","","","","","  43.2"," ,T,0329, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    979.0"," ,T","","","","","",""
"USS0021F12S","1984","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","        92","T","        92","T","         3","T","","","","","","","","","","","","","","","","","  35.6"," ,T,0830, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    680.1"," ,T","","","","","",""
"USS0021F12S","1985","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","        67","T","        67","T","         3","T","","","","","","","","","","","","","","","","","  33.0"," ,T,1022, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    471.8"," ,T","","","","","",""
"USS0021F12S","1986","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","        85","T","        85","T","         5","T","","","","","","","","","","","","","","","","","  48.3"," ,T,0217, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    649.8"," ,T","","","","","",""
"USS0021F12S","1987","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","        94","T","        94","T","         7","T","","","","","","","","","","","","","","","","","  50.8"," ,T,0717, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    718.1"," ,T","","","","","",""
"USS0021F12S","1988","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","        86","T","        86","T","         3","T","","","","","","","","","","","","","","","","","  50.8"," ,T,1102, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    644.4"," ,T","","","","","",""
"USS0021F12S","1989","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","        74","T","        74","T","         4","T","","","","","","","","","","","","","","","","","  27.9"," ,T,1023,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    647.3"," ,T","","","","","",""
"USS0021F12S","1990","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","        83","T","        83","T","         1","T","","","","","","","        35","T","        89","T","         8","T","","","","","  45.7"," ,T,0107, ","   34.2","T,0806, ","","","","","","","","","","","","","","","","","","","","","","","","","    488.8"," ,T","","","     13.22","T","",""
"USS0021F12S","1991","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","        99","T","        99","T","         3","T","","","","","","","         7","T","       103","T","         1","T","","","","","  25.4"," ,T,1025,+","   32.3","T,0703, ","","","","","","","","","","","","","","","","","","","","","","","","","    689.6"," ,T","","","     13.69","T","",""
"USS0021F12S","1992","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","        88","T","        88","T","         1","T","","","","","","","        24","T","       115","T","        11","T","","","","","  45.7"," ,T,1208, ","   34.3","T,0622, ","","","","","","","","","","","","","","","","","","","","","","","","","    580.5"," ,T","","","     14.79","T","",""
"USS0021F12S","1993","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","       104","T","       104","T","         2","T","","","","","","","","","","","","","","","","","  30.5"," ,T,1208, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    721.8"," ,T","","","","","",""
"USS0021F12S","1994","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","        76","T","        76","T","         0","T","","","","","","","","","","","","","","","","","  20.3"," ,T,1104, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    433.3"," ,T","","","","","",""
"USS0021F12S","1995","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","     25.6","","      25.6","T","       111","T","       111","T","         2","T","","","         0","T","       196","T","        19","T","        88","T","         0","T","  -17.2","T,0214, ","","","  45.7"," ,T,1212, ","   31.6","T,0914, ","-1.8","T,0808","-4.9","T,1004","-4.9","T,1004","-7.5","T,1022","-9.6","T,1101","-1.1","T,0730","-3.8","T,0606","-4.7","T,0512","-8.4","T,0421","-10.2","T,0419","    4603.7","7","    4603.7","T","    892.8"," ,T","      6.23","T","     13.22","T","     -0.75","T"
"USS0021F12S","1996","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","     93.6","","      93.6","T","       112","T","       112","T","         8","T","","","         0","T","       216","T","        33","T","       103","T","        13","T","  -16.7","T,0225, ","","","  71.1"," ,T,1118, ","   34.5","T,0723, ","-0.1","T,0806","-2.3","T,0905","-4.7","T,0922","-6.9","T,1017","-9.3","T,1019","-2.3","T,0719","-2.3","T,0719","-5.6","T,0618","-9.0","T,0504","-9.0","T,0504","    4431.7","7","    4431.7","T","   1027.2"," ,T","      6.22","T","     13.34","T","     -0.90","T"
"USS0021F12S","1997","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","     20.7","","      20.7","T","        85","T","        85","T","         2","T","","","         2","T","       212","T","        18","T","        96","T","         2","T","  -20.7","T,0113, ","","","  38.1"," ,T,0101, ","   33.7","T,0806, ","-2.2","T,0917","-2.2","T,0917","-4.9","T,1010","-6.7","T,1024","-9.9","T,1202","-1.7","T,0710","-3.5","T,0622","-4.9","T,0502","-6.9","T,0501","-9.0","T,0411","    4471.6","6","    4471.6","T","    532.4"," ,T","      6.06","T","     13.26","T","     -1.14","T"
"USS0021F12S","1998","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","    111.0","","     111.0","T","       135","T","       135","T","         5","T","","","         5","T","       218","T","        28","T","        94","T","        17","T","  -27.3","T,1220, ","","","  66.0"," ,T,1121, ","   35.3","T,0901, ","-1.1","T,0919","-3.3","T,1002","-5.1","T,1010","-7.6","T,1030","-13.1","T,1203","-0.3","T,0627","-2.6","T,0527","-5.0","T,0526","-9.3","T,0416","-9.3","T,0416","    4639.2","2","    4639.2","T","    971.0"," ,T","      5.77","T","     12.39","T","     -0.85","T"
"USS0021F12S","1999","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","     25.5","","      25.5","T","        95","T","        95","T","         3","T","","","         0","T","       222","T","        28","T","       105","T","         4","T","  -16.9","T,0201, ","","","  45.7"," ,T,0122, ","   33.4","T,0712, ","-0.2","T,0815","-2.8","T,0830","-4.5","T,0831","-7.3","T,1015","-10.4","T,1121","-3.0","T,0704","-3.0","T,0704","-5.1","T,0608","-6.9","T,0510","-14.2","T,0409","    4746.1","1","    4746.1","T","    694.6"," ,T","      5.81","T","     13.29","T","     -1.67","T"
"USS0021F12S","2000","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","     44.4","","      44.4","T","        89","T","        89","T","         4","T","","","         0","T","       226","T","        14","T","       109","T","         6","T","  -13.5","T,0224, ","","","  78.7"," ,T,0111, ","   33.6","T,0730, ","0.0","T,0902","-3.4","T,0909","-7.4","T,0923","-7.4","T,0923","-11.4","T,1111","-2.4","T,0704","-2.4","T,0704","-6.8","T,0531","-6.8","T,0531","-9.0","T,0330","    4283.8","8","    4283.8","T","    648.5"," ,T","      6.22","T","     13.49","T","     -1.05","T"
"USS0021F12S","2001","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","        92","T","        92","T","         2","T","","","         0","T","       199","T","","","","","","","  -15.5","T,0207, ","","","  38.1"," ,T,1128, ","","","-0.7","T,0905","-2.9","T,0906","-6.9","T,1009","-6.9","T,1009","-11.6","T,1126","-0.3","T,0717","-3.9","T,0613","-6.0","T,0604","-8.0","T,0502","-9.3","T,0414","    4471.7","7","    4471.7","T","    531.7"," ,T","","","","","     -0.83","T"
"USS0021F12S","2002","42.96","-121.18","1749.6","SILVER CREEK, OR US","","","","","","","        75","T","        75","T","         1","T","","","","","","","","","","","","","","","","","  35.6"," ,T,1227, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    524.8"," ,T","","","","","",""
"USS0021F12S","2003","42.96","-121.18","1749.6","SILVER CREEK, OR US","       0.5","T","    114.8","","     114.8","T","        80","T","        80","T","         0","T","      127","","         0","T","       194","T","        23","T","       116","T","        11","T","  -15.3","T,1226, ","   635"," ,T,0101, ","  22.9"," ,T,1228, ","   37.2","T,0722, ","-0.8","T,0908","-4.5","T,0917","-4.5","T,0917","-9.7","T,1030","-9.7","T,1030","-0.9","T,0624","-2.2","T,0622","-4.4","T,0519","-7.9","T,0518","-8.9","T,0405","","","","","    471.1"," ,T","      7.04","T","     13.74","T","      0.33","T"
