"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0045Q05S","1999","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","","","","","        92","T","        92","T","         1","T","","","","","","","","","","","","","","","","","  25.4"," ,T,0627, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    470.7"," ,T","","","","","",""
"USS0045Q05S","2001","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","","","","","        88","T","        88","T","         0","T","","","","","","","","","","","","","","","","","  22.9"," ,T,0630, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    381.4"," ,T","","","","","",""
"USS0045Q05S","2002","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","","","","","        92","T","        92","T","         1","T","","","","","","","","","","","","","","","","","  27.9"," ,T,0719, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    490.8"," ,T","","","","","",""
"USS0045Q05S","2003","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","","","","","        92","T","        92","T","         2","T","","","","","","","","","","","","","","","","","  35.6"," ,T,0727, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    533.8"," ,T","","","","","",""
"USS0045Q05S","2004","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","","","","","        83","T","        83","T","         0","T","","","","","","","","","","","","","","","","","  17.8"," ,T,0722,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    348.5"," ,T","","","","","",""
"USS0045Q05S","2005","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","","","","","        95","T","        95","T","         1","T","","","","","","","","","","","","","","","","","  25.4"," ,T,0709, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    460.6"," ,T","","","","","",""
"USS0045Q05S","2006","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","","","","","       108","T","       108","T","         0","T","","","","","","","","","","","","","","","","","  15.2"," ,T,0818,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    429.4"," ,T","","","","","",""
"USS0045Q05S","2007","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","","","","","        75","T","        75","T","         1","T","      211","","","","","","","","","","","","","","   279"," ,T,0331,+","  30.5"," ,T,0806, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    437.9"," ,T","","","","","",""
"USS0045Q05S","2008","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","      0.0","","       0.0","T","","","","","","","      245","","       103","T","       248","T","       191","T","         0","T","         0","T","  -38.3","T,0301, ","   330"," ,T,1206,+","","","   19.3","T,0622, ","-1.2","T,0820","-2.2","T,0913","-5.5","T,0926","-7.9","T,0927","-9.5","T,0928","-1.8","T,0530","-3.7","T,0502","-5.7","T,0501","-12.5","T,0418","-12.5","T,0418","    8131.5","5","    8131.5","T","","","     -5.65","T","     -1.97","T","     -9.33","T"
"USS0045Q05S","2009","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","      0.0","","       0.0","T","        85","T","        85","T","         1","T","      236","","        88","T","       234","T","       175","T","         7","T","         0","T","  -38.6","T,0316, ","   381"," ,T,0122, ","  25.4"," ,T,1127, ","   23.6","T,0713, ","0.0","T,0810","-3.7","T,0919","-4.6","T,0920","-6.9","T,0924","-8.9","T,0928","-2.6","T,0517","-2.6","T,0517","-5.7","T,0516","-6.9","T,0515","-9.4","T,0420","    8641.0","0","    8641.0","T","    402.4"," ,T","     -4.15","T","     -0.40","T","     -7.90","T"
"USS0045Q05S","2010","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","      0.0","","       0.0","T","        76","T","        76","T","         1","T","      222","","        85","T","       224","T","       177","T","         5","T","         0","T","  -37.3","T,0110, ","   330"," ,T,0411,+","  30.5"," ,T,0830, ","   23.7","T,0804, ","-5.7","T,0921","-5.7","T,0921","-5.7","T,0921","-7.7","T,0922","-8.9","T,0923","-1.6","T,0514","-2.9","T,0507","-5.9","T,0506","-9.8","T,0416","-9.8","T,0416","    7570.0","0","    7570.0","T","    384.5"," ,T","     -3.29","T","      0.29","T","     -6.88","T"
"USS0045Q05S","2011","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","      0.0","","       0.0","T","        98","T","        98","T","         1","T","      235","","        88","T","       229","T","       183","T","         0","T","         0","T","  -37.5","T,0214, ","   305"," ,T,0203, ","  25.4"," ,T,0615, ","   20.3","T,0528, ","-2.7","T,0923","-2.7","T,0923","-5.5","T,0928","-6.8","T,1010","-9.2","T,1011","-1.6","T,0514","-5.9","T,0513","-5.9","T,0513","-7.4","T,0512","-10.2","T,0422","    7779.3","3","    7779.3","T","    590.3"," ,T","     -4.20","T","     -0.60","T","     -7.81","T"
"USS0045Q05S","2012","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","      0.0","","       0.0","T","        82","T","        82","T","         2","T","      229","","       113","T","       240","T","       181","T","         1","T","         0","T","  -39.9","T,0125, ","   305"," ,T,0501, ","  40.6"," ,T,0704, ","   21.3","T,0624, ","-0.4","T,0828","-3.1","T,0909","-4.6","T,0930","-11.7","T,1010","-11.7","T,1010","-1.9","T,0516","-3.4","T,0515","-5.4","T,0509","-10.4","T,0503","-10.4","T,0503","    8476.6","6","    8476.6","T","    465.9"," ,T","     -5.65","T","     -2.12","T","     -9.17","T"
"USS0045Q05S","2013","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","      0.4","","       0.4","T","        87","T","        87","T","         0","T","      251","","        91","T","       249","T","       197","T","         8","T","         0","T","  -37.6","T,0129, ","   432"," ,T,0504, ","  15.2"," ,T,1205,+","   23.7","T,0627, ","-1.2","T,0824","-2.8","T,0901","-5.4","T,0916","-8.7","T,0917","-9.6","T,0920","-1.1","T,0521","-5.7","T,0520","-5.7","T,0520","-12.5","T,0519","-12.5","T,0519","    8748.7","7","    8748.7","T","    338.2"," ,T","     -4.55","T","     -0.90","T","     -8.21","T"
"USS0045Q05S","2014","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","      0.0","","       0.0","T","       102","T","       102","T","         2","T","      222","","        53","T","       245","T","       170","T","         0","T","         0","T","  -34.7","T,0212, ","   508"," ,T,1031, ","  40.6"," ,T,0701, ","   19.7","T,0706, ","-0.8","T,0829","-2.6","T,0830","-7.3","T,0923","-7.3","T,0923","-9.4","T,1006","-0.8","T,0602","-3.0","T,0523","-4.8","T,0520","-6.7","T,0423","-9.2","T,0412","    7789.2","2","    7789.2","T","    590.6"," ,T","     -2.61","T","      0.81","T","     -6.03","T"
"USS0045Q05S","2015","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","","","","","        92","T","        92","T","         0","T","","","","","","","","","","","","","","","","","  20.3"," ,T,0627, ","","","","","","","","","","","","","","","","","","","","","","","    7387.0","0","    7387.0","T","    437.5"," ,T","","","","","",""
"USS0045Q05S","2016","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","","","","","        92","T","        92","T","         1","T","      235","","        59","T","       234","T","","","","","","","  -30.6","T,1207,+","   711"," ,T,0423,+","  27.9"," ,T,0705, ","","","-2.9","T,0906","-2.9","T,0906","-5.4","T,0926","-10.2","T,1013","-10.2","T,1013","-0.7","T,0603","-3.6","T,0518","-5.3","T,0517","-17.8","T,0415","-17.8","T,0415","","","","","    455.7"," ,T","","","","","     -5.73","T"
"USS0045Q05S","2018","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","      2.2","","       2.2","T","       116","T","       116","T","         2","T","","","        57","T","       232","T","       164","T","         4","T","         0","T","  -31.8","T,0124, ","","","  27.9"," ,T,0923, ","   23.7","T,0723, ","-1.1","T,0822","-4.9","T,0927","-4.9","T,0927","-9.3","T,1006","-9.3","T,1006","-0.8","T,0615","-2.2","T,0508","-4.4","T,0507","-7.9","T,0503","-10.3","T,0422","    7446.1","1","    7446.1","T","    643.1"," ,T","     -2.54","T","      0.83","T","     -5.92","T"
"USS0045Q05S","2019","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","      1.3","","       1.3","T","       100","T","       100","T","         0","T","","","        58","T","       229","T","       168","T","         8","T","         0","T","  -38.9","T,1228,+","","","  17.8"," ,T,1027,+","   23.9","T,0709, ","-0.5","T,0818","-3.5","T,0917","-5.8","T,1005","-7.2","T,1006","-12.2","T,1013","-0.4","T,0512","-7.5","T,0507","-7.5","T,0507","-7.5","T,0507","-9.2","T,0407","    7056.6","6","    7056.6","T","    498.7"," ,T","     -1.92","T","      1.58","T","     -5.42","T"
"USS0045Q05S","2020","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    8385.3","3","    8385.3"," ","","","","","","","",""
"USS0045Q05S","2021","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","       4.2","T","      0.0","","       0.0","T","        89","T","        89","T","         1","T","","","       104","T","       241","T","       192","T","         6","T","         0","T","  -41.1","T,0209, ","","","  48.3"," ,T,1226, ","   22.2","T,0802,+","0.0","T,0828","-3.9","T,0918","-6.7","T,0920","-6.7","T,0920","-8.9","T,0922","0.0","T,0530","-6.7","T,0529","-6.7","T,0529","-6.7","T,0529","-10.0","T,0501","","","","","    506.4"," ,T","     -4.92","T","     -1.25","T","     -8.59","T"
"USS0045Q05S","2022","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","       4.6","T","      0.0","","       0.0","T","        92","T","        92","T","         0","T","","","       100","T","       241","T","       175","T","         7","T","         0","T","  -38.3","T,1225, ","","","  20.3"," ,T,0801, ","   22.8","T,0701, ","-1.1","T,0809","-3.3","T,0925","-6.7","T,1009","-6.7","T,1009","-10.0","T,1011","-2.2","T,0609","-2.2","T,0609","-4.4","T,0523","-6.7","T,0420","-8.9","T,0418","    8517.5","5","    8517.5","T","    388.9"," ,T","     -4.05","T","     -0.41","T","     -7.69","T"
"USS0045Q05S","2023","65.49","-145.41","1112.5","EAGLE SUMMIT, AK US","       4.3","T","      1.7","","       1.7","T","","","","","","","","","        85","T","       241","T","       188","T","        11","T","         0","T","  -31.7","T,0304,+","","","","","   23.3","T,0725, ","0.0","T,0902","-3.3","T,0919","-6.1","T,0924","-8.9","T,1003","-8.9","T,1003","-1.7","T,0603","-2.2","T,0602","-5.0","T,0504","-12.8","T,0426","-12.8","T,0426","    7963.9","9","    7963.9","T","","","     -3.39","T","      0.12","T","     -6.89","T"
