"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0048L06S","2006","60.8","-148.09","15.2","ESTHER ISLAND, AK US","","","","","","","       232","T","       232","T","        55","T","","","","","","","","","","","","","","","",""," 101.6"," ,T,1009, ","","","","","","","","","","","","","","","","","","","","","","","    4897.1","1","    4897.1","T","   3645.8"," ,T","","","","","",""
"USS0048L06S","2007","60.8","-148.09","15.2","ESTHER ISLAND, AK US","","","      0.0","","       0.0","T","       202","T","       202","T","        54","T","","","         0","T","       125","T","        41","T","         8","T","         0","T","  -16.9","T,0109, ","",""," 121.9"," ,T,1101, ","   23.1","T,0620, ","-0.9","T,1011","-6.2","T,1203","-6.2","T,1203","-6.7","T,1219","","","-0.1","T,0506","-3.1","T,0405","-4.6","T,0404","-8.6","T,0402","-9.2","T,0401","","","","","   3683.9"," ,T","      4.66","T","      7.72","T","      1.61","T"
"USS0048L06S","2008","60.8","-148.09","15.2","ESTHER ISLAND, AK US","","","      0.0","","       0.0","T","       205","T","       205","T","        59","T","","","         0","T","       151","T","        51","T","         0","T","         0","T","  -16.6","T,0208, ","",""," 132.1"," ,T,1010, ","   20.8","T,0729, ","-0.1","T,1023","-3.6","T,1024","-4.4","T,1025","-7.3","T,1222","-14.6","T,1229","0.0","T,0519","-3.2","T,0421","-5.4","T,0419","-8.2","T,0412","-8.9","T,0411","    5028.9","9","    5028.9","T","   3958.5"," ,T","      3.65","T","      6.40","T","      0.91","T"
"USS0048L06S","2009","60.8","-148.09","15.2","ESTHER ISLAND, AK US","","","      3.4","","       3.4","T","       180","T","       180","T","        54","T","","","         0","T","       141","T","        47","T","         6","T","         0","T","  -17.5","T,0107, ","",""," 109.2"," ,T,0721, ","   26.6","T,0706, ","-1.2","T,1030","-4.8","T,1112","-4.8","T,1112","-8.6","T,1115","-10.7","T,1217","-0.1","T,0502","-2.3","T,0413","-4.8","T,0408","-6.8","T,0405","-10.1","T,0401","    5240.6","6","    5240.6","T","   3244.0"," ,T","      4.55","T","      7.55","T","      1.56","T"
"USS0048L06S","2010","60.8","-148.09","15.2","ESTHER ISLAND, AK US","","","      0.0","","       0.0","T","       211","T","       211","T","        54","T","","","         0","T","       112","T","        31","T","         0","T","         0","T","  -11.1","T,0307, ","","","  99.1"," ,T,1001, ","   20.6","T,0527, ","-0.7","T,1029","-3.0","T,1116","-5.6","T,1201","-7.9","T,1215","-9.1","T,1218","-0.2","T,0509","-7.1","T,0410","-7.1","T,0410","-7.1","T,0410","-10.4","T,0312","    4695.1","1","    4695.1","T","   3706.6"," ,T","      5.17","T","      7.86","T","      2.48","T"
"USS0048L06S","2011","60.8","-148.09","15.2","ESTHER ISLAND, AK US","","","      0.0","","       0.0","T","       188","T","       188","T","        59","T","","","         0","T","       137","T","        52","T","         4","T","         0","T","  -14.1","T,0313,+","",""," 119.4"," ,T,1001, ","   21.7","T,0812, ","-1.0","T,1031","-2.3","T,1103","-6.8","T,1115","-6.8","T,1115","-8.9","T,1121","0.0","T,0513","-2.3","T,0416","-8.6","T,0321","-8.6","T,0321","-9.3","T,0315","    5062.1","1","    5062.1","T","   4433.3"," ,T","      4.23","T","      7.20","T","      1.27","T"
"USS0048L06S","2012","60.8","-148.09","15.2","ESTHER ISLAND, AK US","","","      0.0","","       0.0","T","       208","T","       208","T","        52","T","","","         3","T","       158","T","        62","T","         1","T","         0","T","  -19.1","T,0119, ","",""," 142.2"," ,T,0920,+","   21.7","T,0623, ","0.0","T,1019","-2.6","T,1021","-4.4","T,1119","-6.8","T,1129","-10.1","T,1204","-0.8","T,0518","-2.2","T,0414","-5.3","T,0410","-13.2","T,0323","-13.2","T,0323","    5347.3","3","    5347.3","T","   3899.6"," ,T","      3.35","T","      6.35","T","      0.36","T"
"USS0048L06S","2013","60.8","-148.09","15.2","ESTHER ISLAND, AK US","","","","","","","       199","T","       199","T","        61","T","","","","","","","","","","","","","","","",""," 114.3"," ,T,1008, ","","","","","","","","","","","","","","","","","","","","","","","    5190.0","0","    5190.0","T","   4007.8"," ,T","","","","","",""
"USS0048L06S","2015","60.8","-148.09","15.2","ESTHER ISLAND, AK US","","","","","","","       185","T","       185","T","        63","T","","","","","","","","","","","","","","","",""," 144.8"," ,T,1126, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   4220.5"," ,T","","","","","",""
"USS0048L06S","2016","60.8","-148.09","15.2","ESTHER ISLAND, AK US","","","      2.4","","       2.4","T","       213","T","       213","T","        72","T","","","         0","T","       114","T","        20","T","         7","T","         0","T","   -8.6","T,1205, ","",""," 175.3"," ,T,0921, ","   24.8","T,0718, ","-0.1","T,1008","-2.2","T,1023","-4.4","T,1128","-6.7","T,1130","","","-1.0","T,0404","-2.2","T,0220","","","","","","","","","","","   4604.0"," ,T","      5.69","T","      8.25","T","      3.14","T"
"USS0048L06S","2017","60.8","-148.09","15.2","ESTHER ISLAND, AK US","","","      0.0","","       0.0","T","       196","T","       196","T","        60","T","      155","","         0","T","       167","T","        62","T","         3","T","         0","T","  -16.4","T,0306, ","  1321"," ,T,0320, "," 160.0"," ,T,1002, ","   23.2","T,0805, ","-0.9","T,1019","-2.2","T,1020","-4.5","T,1118","-6.8","T,1227","-9.1","T,1229","-0.2","T,0515","-2.5","T,0421","-7.3","T,0327","-7.3","T,0327","-13.1","T,0325","    5325.0","0","    5325.0","T","   3996.6"," ,T","      3.51","T","      6.23","T","      0.79","T"
"USS0048L06S","2018","60.8","-148.09","15.2","ESTHER ISLAND, AK US","","","      0.0","","       0.0","T","       202","T","       202","T","        62","T","","","         0","T","       150","T","        36","T","         3","T","         0","T","  -16.4","T,0202, ","",""," 157.5"," ,T,1207, ","   25.6","T,0703, ","-0.6","T,1029","-2.5","T,1031","-7.0","T,1213","-7.0","T,1213","","","-0.7","T,0513","-2.7","T,0416","-6.9","T,0406","-6.9","T,0406","-10.6","T,0306","    5286.5","5","    5286.5","T","   4345.4"," ,T","      4.41","T","      7.07","T","      1.75","T"
