"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0051K15S","2002","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","","","","","       186","T","       186","T","        27","T","","","","","","","","","","","","","","","",""," 114.3"," ,T,1105, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   2299.4"," ,T","","","","","",""
"USS0051K15S","2003","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","","","","","       143","T","       143","T","        18","T","","","","","","","","","","","","","","","","","  76.2"," ,T,0131, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1550.4"," ,T","","","","","",""
"USS0051K15S","2005","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","","","","","       151","T","       151","T","        16","T","","","","","","","","","","","","","","","","","  58.4"," ,T,0916, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1588.2"," ,T","","","","","",""
"USS0051K15S","2006","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","","","","","       166","T","       166","T","        17","T","","","","","","","","","","","","","","","","","  88.9"," ,T,1009, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1852.9"," ,T","","","","","",""
"USS0051K15S","2007","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","","","","","       148","T","       148","T","        22","T","","","","","","","","","","","","","","","","","  99.1"," ,T,1108, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1850.6"," ,T","","","","","",""
"USS0051K15S","2008","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","      0.0","","       0.0","T","       155","T","       155","T","        13","T","      193","","         0","T","       200","T","        80","T","         1","T","         0","T","  -16.3","T,0206, ","  1372"," ,T,0319, ","  91.4"," ,T,1009, ","   21.6","T,0731, ","-1.3","T,1004","-3.2","T,1008","-5.3","T,1022","-8.0","T,1028","-10.3","T,1121","-0.1","T,0520","-3.2","T,0430","-6.1","T,0416","-8.3","T,0408","-9.3","T,0320","    5543.8","8","    5543.8","T","   1527.8"," ,T","      2.35","T","      5.31","T","     -0.62","T"
"USS0051K15S","2009","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","      0.0","","       0.0","T","       165","T","       165","T","        14","T","      169","","         2","T","       172","T","        79","T","         2","T","         0","T","  -19.2","T,0108, ","   838"," ,T,0403,+","  58.4"," ,T,1104, ","   21.7","T,0710, ","-0.6","T,1002","-2.7","T,1030","-4.7","T,1101","-6.7","T,1113","-12.7","T,1115","-0.4","T,0502","-2.8","T,0411","-6.3","T,0405","-7.3","T,0402","-10.4","T,0331","    5750.1","1","    5750.1","T","   1725.4"," ,T","      3.07","T","      6.16","T","     -0.03","T"
"USS0051K15S","2010","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","      0.0","","       0.0","T","       158","T","       158","T","        17","T","      189","","         0","T","       181","T","        70","T","         0","T","         0","T","  -16.2","T,0309, ","  1270"," ,T,0405, ","  94.0"," ,T,1003, ","   19.2","T,0528, ","-0.9","T,0927","-2.9","T,1030","-4.8","T,1107","-7.2","T,1201","-9.8","T,1214","0.0","T,0509","-3.5","T,0424","-4.4","T,0410","-6.8","T,0314","-10.2","T,0313","    5342.4","4","    5342.4","T","   1601.0"," ,T","      3.41","T","      6.30","T","      0.51","T"
"USS0051K15S","2011","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","      0.0","","       0.0","T","       173","T","       173","T","        18","T","      160","","         0","T","       172","T","        67","T","         0","T","         0","T","  -16.3","T,1230, ","   686"," ,T,1231, ","  66.0"," ,T,1218, ","   18.9","T,0716, ","-0.7","T,0929","-2.7","T,1030","-4.9","T,1107","-10.3","T,1115","-10.3","T,1115","-0.6","T,0506","-2.2","T,0505","-6.4","T,0406","-7.2","T,0315","-8.9","T,0314","    5469.0","0","    5469.0","T","   1893.4"," ,T","      3.06","T","      5.98","T","      0.14","T"
"USS0051K15S","2012","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","      0.0","","       0.0","T","       157","T","       157","T","        19","T","      221","","         3","T","       192","T","        90","T","         1","T","         0","T","  -19.7","T,0125, ","  1575"," ,T,0328,+","  66.0"," ,T,1230,+","   21.9","T,0623, ","-1.4","T,0929","-2.7","T,1016","-6.4","T,1021","-6.8","T,1023","-9.9","T,1118","-1.0","T,0516","-2.4","T,0503","-6.3","T,0326","-7.4","T,0323","-9.1","T,0321","    5769.5","5","    5769.5","T","   1643.9"," ,T","      2.31","T","      5.35","T","     -0.73","T"
"USS0051K15S","2013","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","      0.9","","       0.9","T","       164","T","       164","T","        20","T","      176","","         0","T","       177","T","        65","T","         7","T","         0","T","  -15.6","T,0127, ","  1448"," ,T,0219, ","  61.0"," ,T,1028,+","   24.8","T,0725, ","-1.7","T,1022","-2.6","T,1023","-4.5","T,1116","-7.1","T,1117","-9.0","T,1120","-2.3","T,0520","-2.3","T,0520","-5.1","T,0417","-7.8","T,0412","-9.5","T,0411","    5495.7","7","    5495.7","T","   1822.2"," ,T","      3.45","T","      6.35","T","      0.55","T"
"USS0051K15S","2014","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","      0.0","","       0.0","T","","","","","","","      102","","         0","T","       153","T","        46","T","         0","T","         0","T","  -14.6","T,0214, ","   584"," ,T,0317,+","","","   20.7","T,0801, ","-0.2","T,1001","-2.4","T,1007","-6.1","T,1127","","","","","-0.8","T,0429","-4.5","T,0411","-4.5","T,0411","-7.3","T,0409","-14.1","T,0316","    5278.2","2","    5278.2","T","","","      4.48","T","      7.50","T","      1.45","T"
"USS0051K15S","2015","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","","","","","       178","T","       178","T","        16","T","       69","","","","","","","","","","","","","","   356"," ,T,1218, ","  83.8"," ,T,0929, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1927.0"," ,T","","","","","",""
"USS0051K15S","2016","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","      0.5","","       0.5","T","       193","T","       193","T","        14","T","       57","","         0","T","       101","T","        19","T","         5","T","         0","T","  -12.2","T,1205, ","   229"," ,T,1224,+","  61.0"," ,T,0920, ","   22.1","T,0720,+","0.0","T,1015","-5.1","T,1117","-5.1","T,1117","-7.6","T,1128","-9.1","T,1129","-0.3","T,0408","-2.7","T,0320","-4.6","T,0317","","","","","","","","","   1796.0"," ,T","      6.40","T","      9.29","T","      3.50","T"
"USS0051K15S","2017","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","      0.0","","       0.0","T","       153","T","       153","T","        17","T","      145","","         0","T","       138","T","        49","T","         2","T","         0","T","  -13.8","T,0116, ","   838"," ,T,0222, ","  48.3"," ,T,1025, ","   22.2","T,0713, ","-0.1","T,1016","-3.8","T,1020","-6.9","T,1120","-6.9","T,1120","-10.8","T,1126","-0.7","T,0420","-7.8","T,0330","-7.8","T,0330","-7.8","T,0330","-9.1","T,0318","    4995.1","1","    4995.1","T","   1626.5"," ,T","      4.55","T","      7.38","T","      1.71","T"
"USS0051K15S","2018","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","      0.0","","       0.0","T","       171","T","       171","T","        16","T","","","         0","T","       124","T","        32","T","         2","T","         0","T","  -11.8","T,0125, ","","","  53.3"," ,T,1021,+","   21.7","T,0804,+","-2.0","T,1029","-3.7","T,1101","-4.8","T,1212","-6.7","T,1214","-9.1","T,1219","0.0","T,0420","-2.3","T,0406","-4.8","T,0311","-7.2","T,0301","-9.7","T,0202","    4775.7","7","    4775.7","T","   1769.3"," ,T","      5.30","T","      8.05","T","      2.55","T"
"USS0051K15S","2019","59.35","-151.85","91.4","PORT GRAHAM, AK US","","","      1.9","","       1.9","T","       162","T","       162","T","        22","T","      102","","         0","T","        93","T","        28","T","        13","T","         0","T","  -12.2","T,1231, ","   432"," ,T,0112, ","  99.1"," ,T,1209, ","   24.1","T,0813, ","-0.9","T,1013","-5.0","T,1125","-5.0","T,1125","-7.2","T,1205","-10.6","T,1227","-0.5","T,0427","-5.9","T,0424","-5.9","T,0424","-7.3","T,0120","-11.3","T,0111","    4532.3","3","    4532.3","T","   2061.1"," ,T","      6.28","T","      9.09","T","      3.47","T"
"USS0051K15S","2020","59.35","-151.85","91.4","PORT GRAHAM, AK US","       1.1","T","      0.0","","       0.0","T","       155","T","       155","T","        16","T","      164","","         0","T","       147","T","        65","T","         5","T","         0","T","  -16.7","T,0102, ","   914"," ,T,0310, ","  71.1"," ,T,0930, ","   23.9","T,0715, ","0.0","T,1017","-4.4","T,1030","-4.4","T,1030","-7.8","T,1103","-9.4","T,1205","0.0","T,0502","-5.0","T,0410","-5.0","T,0410","-6.7","T,0331","-8.9","T,0312","    4892.8","8","    4892.8","T","   1608.6"," ,T","      4.37","T","      7.34","T","      1.40","T"
