STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,HN01,HN01_ATTRIBUTES,HX01,HX01_ATTRIBUTES,LN01,LN01_ATTRIBUTES,LX01,LX01_ATTRIBUTES,MN01,MN01_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MX01,MX01_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
USC00401946,1949,35.51667,-85.28333,264.9,"COLLEGE JUNCTION, TN US",112,0,95,0,15,0,1,,1,0,51," ,0,0131, ",51," ,0,0131, ",78.7," ,0,0105, ",1431.3,0.0,51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00401946,1950,35.51667,-85.28333,264.9,"COLLEGE JUNCTION, TN US",127,0,105,0,15,0,1,,1,0,76," ,0,1124, ",74," ,0,1124, ",54.1," ,0,0313, ",1493.7,0.0,107,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00401946,1951,35.51667,-85.28333,264.9,"COLLEGE JUNCTION, TN US",105,0,85,0,17,0,,,,,,,,,73.7," ,0,0201, ",1466.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00401946,1952,35.51667,-85.28333,264.9,"COLLEGE JUNCTION, TN US",91,0,75,0,11,0,,,,,,,,,68.8," ,0,0311, ",1110.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00401946,1953,35.51667,-85.28333,264.9,"COLLEGE JUNCTION, TN US",100,0,75,0,16,0,,,,,,,,,96.0," ,0,0718, ",1219.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00401946,1954,35.51667,-85.28333,264.9,"COLLEGE JUNCTION, TN US",90,0,74,0,13,0,,,,,,,,,94.0," ,0,0121, ",1213.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00401946,1955,35.51667,-85.28333,264.9,"COLLEGE JUNCTION, TN US",98,0,84,0,12,0,,,,,,,,,50.3," ,0,0206, ",1272.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00401946,1956,35.51667,-85.28333,264.9,"COLLEGE JUNCTION, TN US",98,0,82,0,24,0,,,,,,,,,116.8," ,0,1213, ",1661.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00401946,1957,35.51667,-85.28333,264.9,"COLLEGE JUNCTION, TN US",129,0,106,0,21,0,,,,,,,,,74.9," ,0,1119, ",1689.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00401946,1958,35.51667,-85.28333,264.9,"COLLEGE JUNCTION, TN US",105,0,83,0,9,0,,,,,,,,,50.8," ,0,0429, ",1048.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
